season,week,home_team,away_team,total_line,over_odds,under_odds,n_books
2006,6.0,Air Force,Navy,50.5,-110.0,-110.0,5.0
2006,6.0,Alabama,Duke,39.0,-110.0,-110.0,3.0
2006,6.0,Auburn,Arkansas,43.5,-111.5,-107.5,4.0
2006,6.0,Boise State,Louisiana Tech,56.75,-113.0,-2.0,2.0
2006,6.0,Buffalo,Ball State,49.0,-110.0,-110.0,4.0
2006,6.0,California,Oregon,60.75,-110.0,-107.5,4.0
2006,6.0,Cincinnati,Akron,43.5,-110.0,-110.0,3.0
2006,6.0,Colorado,Baylor,37.5,-110.0,-110.0,3.0
2006,6.0,Colorado State,UNLV,43.0,-110.0,-110.0,3.0
2006,6.0,East Carolina,Virginia,43.5,-110.0,-110.0,5.0
2006,6.0,Georgia,Tennessee,37.25,-107.5,-110.0,4.0
2006,6.0,Georgia Tech,Maryland,43.5,-110.0,-110.0,5.0
2006,6.0,Idaho,New Mexico State,60.25,-110.0,-110.0,4.0
2006,6.0,Illinois,Indiana,46.0,-110.0,-110.0,3.0
2006,6.0,Iowa,Purdue,53.0,-110.0,-108.5,4.0
2006,6.0,Iowa State,Nebraska,54.5,-110.0,-110.0,5.0
2006,6.0,Kansas,Texas A&M,51.75,-110.0,-110.0,4.0
2006,6.0,Kansas State,Oklahoma State,43.75,-110.0,-110.0,4.0
2006,6.0,Kentucky,South Carolina,52.0,-110.0,-110.0,5.0
2006,6.0,Michigan,Michigan State,53.0,-110.0,-110.0,5.0
2006,6.0,Minnesota,Penn State,48.5,-107.5,-110.0,4.0
2006,6.0,Mississippi State,West Virginia,47.0,-110.0,-110.0,3.0
2006,6.0,New Mexico,Wyoming,41.0,-110.0,-110.0,3.0
2006,6.0,North Texas,Florida International,40.5,-110.0,-110.0,4.0
2006,6.0,Notre Dame,Stanford,55.0,-110.0,-110.0,4.0
2006,6.0,Ohio,Western Michigan,41.0,-110.0,-110.0,4.0
2006,6.0,Ohio State,Bowling Green,51.0,-110.0,-110.0,3.0
2006,6.0,Oklahoma,Texas,48.0,-110.0,-110.0,5.0
2006,6.0,Oregon State,Washington State,52.0,-110.0,-110.0,3.0
2006,6.0,Syracuse,Pittsburgh,43.5,-110.0,-110.0,4.0
2006,6.0,Texas Tech,Missouri,52.5,-110.0,-110.0,5.0
2006,6.0,Toledo,Central Michigan,50.0,-110.0,-110.0,5.0
2006,6.0,Tulane,Rice,55.25,-110.0,-110.0,4.0
2006,6.0,UCLA,Arizona,41.0,-110.0,-110.0,5.0
2006,6.0,Utah State,Fresno State,45.5,-110.0,-110.0,3.0
