team,line,over_odds,under_odds,books
Notre Dame,,-110,-110,1
Indiana,,-110,-110,1
Texas Tech,,-110,-110,1
Miami,,-110,-110,1
James Madison,,-110,-110,1
Oregon,,-110,-110,1
Ohio State,,-110,-110,1
Georgia,,-110,-110,1
Penn State,,-110,-110,1
Toledo,,-110,-110,1
Utah,,-110,-110,1
SMU,,-110,-110,1
Ole Miss,,-110,-110,1
Alabama,,-110,-110,1
Ohio,,-110,-110,1
Texas,,-110,-110,1
South Florida,,-110,-110,1
Clemson,,-110,-110,1
Navy,,-110,-110,1
Old Dominion,,-110,-110,1
Tulane,,-110,-110,1
Iowa,,-110,-110,1
UNLV,,-110,-110,1
Louisville,,-110,-110,1
Texas A&M,,-110,-110,1
East Carolina,,-110,-110,1
Jacksonville State,,-110,-110,1
BYU,,-110,-110,1
TCU,,-110,-110,1
North Texas,,-110,-110,1
Kansas State,,-110,-110,1
Tennessee,,-110,-110,1
Michigan,,-110,-110,1
USC,,-110,-110,1
Western Michigan,,-110,-110,1
Virginia,,-110,-110,1
NC State,,-110,-110,1
Washington,,-110,-110,1
Illinois,,-110,-110,1
New Mexico,,-110,-110,1
Pittsburgh,,-110,-110,1
Vanderbilt,,-110,-110,1
Memphis,,-110,-110,1
UTSA,,-110,-110,1
Iowa State,,-110,-110,1
Miami (OH),,-110,-110,1
Hawai'i,,-110,-110,1
Oklahoma,,-110,-110,1
UConn,,-110,-110,1
Louisiana,,-110,-110,1
Houston,,-110,-110,1
Duke,,-110,-110,1
Arizona,,-110,-110,1
Marshall,,-110,-110,1
Boise State,,-110,-110,1
Army,,-110,-110,1
Air Force,,-110,-110,1
Western Kentucky,,-110,-110,1
LSU,,-110,-110,1
Troy,,-110,-110,1
Missouri,,-110,-110,1
Liberty,,-110,-110,1
Georgia Tech,,-110,-110,1
Arizona State,,-110,-110,1
Minnesota,,-110,-110,1
Texas State,,-110,-110,1
Kennesaw State,,-110,-110,1
Florida International,,-110,-110,1
South Alabama,,-110,-110,1
Kansas,,-110,-110,1
Buffalo,,-110,-110,1
Fresno State,,-110,-110,1
UCF,,-110,-110,1
Arkansas State,,-110,-110,1
South Carolina,,-110,-110,1
Wisconsin,,-110,-110,1
Wake Forest,,-110,-110,1
Washington State,,-110,-110,1
Wyoming,,-110,-110,1
Louisiana Tech,,-110,-110,1
Rutgers,,-110,-110,1
Central Michigan,,-110,-110,1
Auburn,,-110,-110,1
Florida State,,-110,-110,1
Delaware,,-110,-110,1
Baylor,,-110,-110,1
Cincinnati,,-110,-110,1
Georgia Southern,,-110,-110,1
Florida,,-110,-110,1
San Diego State,,-110,-110,1
San José State,,-110,-110,1
California,,-110,-110,1
Coastal Carolina,,-110,-110,1
Eastern Michigan,,-110,-110,1
Nebraska,,-110,-110,1
Bowling Green,,-110,-110,1
App State,,-110,-110,1
West Virginia,,-110,-110,1
Nevada,,-110,-110,1
Missouri State,,-110,-110,1
Northern Illinois,,-110,-110,1
UCLA,,-110,-110,1
Northwestern,,-110,-110,1
Maryland,,-110,-110,1
Kentucky,,-110,-110,1
Sacramento State,,-110,-110,1
Virginia Tech,,-110,-110,1
North Dakota State,,-110,-110,1
Arkansas,,-110,-110,1
Florida Atlantic,,-110,-110,1
Akron,,-110,-110,1
Temple,,-110,-110,1
Utah State,,-110,-110,1
Middle Tennessee,,-110,-110,1
Colorado,,-110,-110,1
Sam Houston,,-110,-110,1
New Mexico State,,-110,-110,1
Boston College,,-110,-110,1
Tulsa,,-110,-110,1
Mississippi State,,-110,-110,1
UAB,,-110,-110,1
Southern Miss,,-110,-110,1
Oregon State,,-110,-110,1
Ball State,,-110,-110,1
North Carolina,,-110,-110,1
Michigan State,,-110,-110,1
UL Monroe,,-110,-110,1
UTEP,,-110,-110,1
Rice,,-110,-110,1
Georgia State,,-110,-110,1
Syracuse,,-110,-110,1
Stanford,,-110,-110,1
Oklahoma State,,-110,-110,1
Kent State,,-110,-110,1
Colorado State,,-110,-110,1
Purdue,,-110,-110,1
Massachusetts,,-110,-110,1
Charlotte,,-110,-110,1
