team,conference,games,exp_wins,sd,p25,median,p75,nearest_line,p_over_line,p_bowl_6plus
Notre Dame,FBS Independents,12,10.3,1.16,10,10,11,9.5,0.769,1.0
Indiana,Big Ten,12,9.9,1.23,9,10,11,9.5,0.649,0.999
Texas Tech,Big 12,12,9.76,1.31,9,10,11,9.5,0.606,0.998
Miami,ACC,12,9.55,1.26,9,10,10,9.5,0.54,0.998
James Madison,Sun Belt,12,9.52,1.35,9,10,10,9.5,0.53,0.997
Oregon,Big Ten,12,9.43,1.28,9,10,10,8.5,0.776,0.998
Ohio State,Big Ten,12,9.34,1.31,8,9,10,8.5,0.748,0.997
Georgia,SEC,12,9.28,1.36,8,9,10,8.5,0.73,0.995
Penn State,Big Ten,12,9.27,1.36,8,9,10,8.5,0.729,0.995
Toledo,Mid-American,12,8.89,1.43,8,9,10,8.5,0.624,0.988
Utah,Big 12,12,8.89,1.44,8,9,10,8.5,0.623,0.988
SMU,ACC,12,8.88,1.35,8,9,10,8.5,0.628,0.991
Ole Miss,SEC,12,8.7,1.42,8,9,10,8.5,0.569,0.986
Alabama,SEC,12,8.57,1.48,8,9,10,8.5,0.534,0.978
Ohio,Mid-American,12,8.4,1.48,7,8,9,7.5,0.736,0.972
Texas,SEC,12,8.37,1.5,7,8,9,7.5,0.727,0.969
South Florida,American Athletic,12,8.33,1.48,7,8,9,7.5,0.719,0.97
Clemson,ACC,12,8.13,1.51,7,8,9,7.5,0.671,0.958
Navy,American Athletic,12,8.1,1.46,7,8,9,7.5,0.67,0.96
Old Dominion,Sun Belt,12,8.08,1.55,7,8,9,7.5,0.654,0.949
Tulane,American Athletic,12,7.98,1.53,7,8,9,7.5,0.633,0.946
Iowa,Big Ten,12,7.95,1.47,7,8,9,7.5,0.628,0.952
UNLV,Mountain West,12,7.92,1.56,7,8,9,7.5,0.616,0.937
Louisville,ACC,12,7.86,1.54,7,8,9,7.5,0.602,0.936
Texas A&M,SEC,12,7.85,1.5,7,8,9,7.5,0.599,0.941
East Carolina,American Athletic,12,7.8,1.45,7,8,9,7.5,0.593,0.943
Jacksonville State,Conference USA,12,7.8,1.55,7,8,9,7.5,0.586,0.93
BYU,Big 12,12,7.78,1.52,7,8,9,7.5,0.582,0.932
TCU,Big 12,12,7.69,1.54,7,8,9,7.5,0.556,0.922
North Texas,American Athletic,12,7.61,1.41,7,8,9,7.5,0.539,0.934
Kansas State,Big 12,12,7.61,1.57,7,8,9,7.5,0.535,0.91
Tennessee,SEC,12,7.58,1.55,7,8,9,7.5,0.527,0.911
