recorded_at,match_date,competition,team,player,reason,status
2026-07-06T17:21:45+00:00,2026-07-07,Champions League,ETO FC Győr,Ahmed Nadhir Benbouali,,injured
2026-07-06T17:21:45+00:00,2026-07-07,Champions League,Shamrock Rovers,Daniel Grant,Muscle Injury,injured
2026-07-06T17:21:45+00:00,2026-07-07,Champions League,Shamrock Rovers,Victor Ozhianvuna,Muscle Injury,injured
2026-07-06T17:21:45+00:00,2026-07-14,Champions League,ETO FC Győr,Ahmed Nadhir Benbouali,,injured
2026-07-06T17:21:45+00:00,2026-07-14,Champions League,Shamrock Rovers,Daniel Grant,Muscle Injury,injured
2026-07-06T17:21:45+00:00,2026-07-14,Champions League,Shamrock Rovers,Victor Ozhianvuna,Muscle Injury,injured
2026-07-21T06:08:20+00:00,2026-07-21,Champions League,FC Thun,Marco Bürki,red_card_suspension,suspended
2026-07-21T06:08:20+00:00,2026-07-21,Champions League,Fenerbahçe,Mason Greenwood,,injured
2026-07-21T06:08:20+00:00,2026-07-21,Champions League,Fenerbahçe,N'Golo Kanté,,injured
2026-07-21T06:08:20+00:00,2026-07-21,Champions League,Fenerbahçe,Nathan Aké,,injured
2026-07-21T06:08:20+00:00,2026-07-21,Champions League,Fenerbahçe,Vedat Muriqi,Hamstring Injury,injured
2026-07-21T06:08:20+00:00,2026-07-21,Champions League,GNK Dinamo Zagreb,Luka Stojković,,injured
2026-07-20T17:31:33+00:00,2026-07-21,Champions League,Klaksvíkar Ítróttarfelag,Mansour Sinyan,Hamstring Injury,injured
2026-07-21T06:08:20+00:00,2026-07-21,Champions League,Lech Poznań,Ali Gholizadeh,Cruciate Ligament Injury,injured
2026-07-20T17:31:33+00:00,2026-07-21,Champions League,Mjällby AIF,Abdoulie Manneh,Back Injury,injured
2026-07-20T17:31:33+00:00,2026-07-21,Champions League,Mjällby AIF,Max Nielsen,Unknown,injured
2026-07-21T06:08:20+00:00,2026-07-21,Champions League,Mjällby AIF,Timo Stavitski,Back Injury,injured
2026-07-21T06:08:20+00:00,2026-07-21,Champions League,SK Sturm Graz,Emran Soglo,Knock,injured
2026-07-22T20:44:13+00:00,2026-07-23,Europa League,FC Midtjylland,Júnior Brumado,Knee Injury,injured
2026-07-22T20:44:13+00:00,2026-07-23,Europa League,FC Midtjylland,Mads Bech Sørensen,Unknown,injured
2026-07-22T20:44:13+00:00,2026-07-23,Europa League,FC Midtjylland,Mikel Gogorza,Hip Injury,injured
2026-07-22T20:44:13+00:00,2026-07-23,Europa League,FC Midtjylland,Ousmane Diao,Unknown,injured
