date,competition,home,away,market,side,line,odds
2026-06-20,Premier League,Arsenal,Liverpool,1x2,home,,2.20
2026-06-20,Premier League,Arsenal,Liverpool,1x2,draw,,3.50
2026-06-20,Premier League,Arsenal,Liverpool,1x2,away,,3.10
2026-06-20,Premier League,Arsenal,Liverpool,total,over,2.5,1.86
2026-06-20,Premier League,Arsenal,Liverpool,total,under,2.5,1.95
2026-06-20,Premier League,Arsenal,Liverpool,btts,yes,,1.72
2026-06-20,Premier League,Arsenal,Liverpool,btts,no,,2.10
2026-06-21,Scottish Premiership,Rangers,Celtic,1x2,home,,2.65
2026-06-21,Scottish Premiership,Rangers,Celtic,1x2,draw,,3.35
2026-06-21,Scottish Premiership,Rangers,Celtic,1x2,away,,2.55
2026-06-21,Scottish Premiership,Rangers,Celtic,total,over,2.5,1.90
2026-06-21,Scottish Premiership,Rangers,Celtic,total,under,2.5,1.91
2026-06-21,Scottish Premiership,Rangers,Celtic,btts,yes,,1.80
2026-06-21,Scottish Premiership,Rangers,Celtic,btts,no,,2.00
