asof,team,player,pos,mins_7d,mins_14d,mins_30d,mins_season,starts_season
2026-07-02,1. FSV Mainz 05,A. Sieb,FW,0.0,0.0,0.0,0,0
2026-07-02,1. FSV Mainz 05,D. Kohr,MF,0.0,0.0,0.0,0,0
2026-07-02,1. FSV Mainz 05,A. Caci,DF,0.0,0.0,0.0,0,0
2026-07-02,1. FSV Mainz 05,L. Maloney,MF,0.0,0.0,0.0,0,0
2026-07-02,1. FSV Mainz 05,N. Weiper,FW,0.0,0.0,0.0,0,0
2026-07-02,1. FSV Mainz 05,R. Zentner,GK,0.0,0.0,0.0,0,0
2026-07-02,1. FSV Mainz 05,N. Veratschnig,DF,0.0,0.0,0.0,0,0
2026-07-02,1. FSV Mainz 05,S. Kawasaki,MF,0.0,0.0,0.0,0,0
2026-07-02,AC Milan,Z. Athekame,DF,0.0,0.0,0.0,0,0
2026-07-02,AC Milan,R. Loftus-Cheek,MF,0.0,0.0,0.0,0,0
2026-07-02,AC Milan,S. Giménez,FW,0.0,0.0,0.0,0,0
2026-07-02,AC Milan,C. Pulišić,MF,0.0,0.0,0.0,0,0
2026-07-02,AC Milan,S. Ricci,MF,0.0,0.0,0.0,0,0
2026-07-02,AC Milan,M. Pittarella,GK,0.0,0.0,0.0,0,0
2026-07-02,AC Milan,P. Terracciano,GK,0.0,0.0,0.0,0,0
2026-07-02,AC Milan,K. De Winter,DF,0.0,0.0,0.0,0,0
2026-07-02,AC Milan,D. Bartesaghi,DF,0.0,0.0,0.0,0,0
2026-07-02,AC Milan,N. Füllkrug,FW,0.0,0.0,0.0,0,0
2026-07-02,AC Oulu,S. Sipola,DF,0.0,0.0,0.0,0,0
2026-07-02,AC Oulu,J. Mäkeläinen,MF,0.0,0.0,0.0,0,0
2026-07-02,AC Oulu,N. Jokelainen,MF,0.0,0.0,0.0,0,0
2026-07-02,AC Oulu,K. Jatta,FW,0.0,0.0,0.0,0,0
2026-07-02,AC Oulu,N. Schulz,GK,0.0,0.0,0.0,0,0
2026-07-02,AC Oulu,A. Lietsa,DF,0.0,0.0,0.0,0,0
2026-07-02,AC Oulu,A. Cassama,DF,0.0,0.0,0.0,0,0
2026-07-02,AC Oulu,S. Silander,DF,0.0,0.0,0.0,0,0
2026-07-02,AC Oulu,M. Ojala,MF,0.0,0.0,0.0,0,0
2026-07-02,AD Ceuta,S. Sánchez,FW,0.0,0.0,0.0,0,0
2026-07-02,AD Ceuta,M. Domenech,FW,0.0,0.0,0.0,0,0
2026-07-02,AD Ceuta,J. Matos,DF,0.0,0.0,0.0,0,0
2026-07-02,AD Ceuta,G. Almenara,DF,0.0,0.0,0.0,0,0
2026-07-02,AD Ceuta,J. Campaña,MF,0.0,0.0,0.0,0,0
2026-07-02,AD Ceuta,Y. Cantero,DF,0.0,0.0,0.0,0,0
2026-07-02,AD Ceuta,A. Betancourt,MF,0.0,0.0,0.0,0,0
2026-07-02,AD Ceuta,Anuar,MF,0.0,0.0,0.0,0,0
2026-07-02,AD Ceuta,A. Caparrós,DF,0.0,0.0,0.0,0,0
2026-07-02,AD Ceuta,‪I. Schor,FW,0.0,0.0,0.0,0,0
2026-07-02,AE Kifisia,K. Roukounakis,MF,0.0,0.0,0.0,0,0
2026-07-02,AE Kifisia,M. Tavares,FW,0.0,0.0,0.0,0,0
2026-07-02,AE Kifisia,D. Theodoridis,FW,0.0,0.0,0.0,0,0
2026-07-02,AE Kifisia,H. Sousa,DF,0.0,0.0,0.0,0,0
2026-07-02,AE Kifisia,D. Simón,DF,0.0,0.0,0.0,0,0
2026-07-02,AE Kifisia,A. Tsilingiris,GK,0.0,0.0,0.0,0,0
2026-07-02,AE Kifisia,V. Xenopoulos,GK,0.0,0.0,0.0,0,0
2026-07-02,AE Kifisia,T. Faitakis,DF,0.0,0.0,0.0,0,0
2026-07-02,AE Kifisia,A. Pothas,MF,0.0,0.0,0.0,0,0
2026-07-02,AE Kifisia,L. Villafáñez,MF,0.0,0.0,0.0,0,0
2026-07-02,AE Kifisia,C. Nunnely,FW,0.0,0.0,0.0,0,0
2026-07-02,AE Kifisia,P. Mijić,FW,0.0,0.0,0.0,0,0
2026-07-02,AEK Athens,J. Penrice,DF,0.0,0.0,0.0,0,0
2026-07-02,AEK Athens,J. Mário,MF,0.0,0.0,0.0,0,0
2026-07-02,AEK Athens,L. Jović,FW,0.0,0.0,0.0,0,0
2026-07-02,AEK Athens,N. Eliasson,MF,0.0,0.0,0.0,0,0
2026-07-02,AEK Athens,A. Brignoli,GK,0.0,0.0,0.0,0,0
2026-07-02,AEK Athens,D. Vida,DF,0.0,0.0,0.0,0,0
2026-07-02,AEK Athens,M. Grujić,MF,0.0,0.0,0.0,0,0
2026-07-02,AEK Athens,P. Mantalos,MF,0.0,0.0,0.0,0,0
2026-07-02,AEK Athens,R. Ljubičić,MF,0.0,0.0,0.0,0,0
2026-07-02,AEK Athens,D. Kutesa,MF,0.0,0.0,0.0,0,0
2026-07-02,AEK Athens,M. Gaćinović,MF,0.0,0.0,0.0,0,0
2026-07-02,AEL Novibet,J. Atanasov,MF,0.0,0.0,0.0,0,0
2026-07-02,AEL Novibet,D. K. Ólafsson,DF,0.0,0.0,0.0,0,0
2026-07-02,AEL Novibet,P. Sisto,FW,0.0,0.0,0.0,0,0
2026-07-02,AEL Novibet,L. Garate,FW,0.0,0.0,0.0,0,0
2026-07-02,AEL Novibet,G. Kakuta,MF,0.0,0.0,0.0,0,0
2026-07-02,AEL Novibet,N. Melissas,GK,0.0,0.0,0.0,0,0
2026-07-02,AEL Novibet,K. Grozos,DF,0.0,0.0,0.0,0,0
2026-07-02,AEL Novibet,E. Pantelakis,DF,0.0,0.0,0.0,0,0
2026-07-02,AEL Novibet,L. Andrada,MF,0.0,0.0,0.0,0,0
2026-07-02,AEL Novibet,P. Staikos,MF,0.0,0.0,0.0,0,0
2026-07-02,AEL Novibet,Z. Chatzistravos,MF,0.0,0.0,0.0,0,0
2026-07-02,AEL Novibet,J. Ngoy,FW,0.0,0.0,0.0,0,0
2026-07-02,AFC Unirea 04 Slobozia,O. Safronov,DF,0.0,0.0,0.0,0,0
2026-07-02,AFC Unirea 04 Slobozia,D. Yanakov,FW,0.0,0.0,0.0,0,0
2026-07-02,AFC Unirea 04 Slobozia,V. Pop,MF,0.0,0.0,0.0,0,0
2026-07-02,AFC Unirea 04 Slobozia,G. Dahan,FW,0.0,0.0,0.0,0,0
2026-07-02,AFC Unirea 04 Slobozia,E. Orozco,DF,0.0,0.0,0.0,0,0
2026-07-02,AFC Unirea 04 Slobozia,D. Rusu,GK,0.0,0.0,0.0,0,0
2026-07-02,AFC Unirea 04 Slobozia,A. Dorobanțu,DF,0.0,0.0,0.0,0,0
2026-07-02,AFC Unirea 04 Slobozia,A. Dragu,DF,0.0,0.0,0.0,0,0
2026-07-02,AFC Unirea 04 Slobozia,C. Toma,DF,0.0,0.0,0.0,0,0
2026-07-02,AFC Unirea 04 Slobozia,L. Vlasceanu,DF,0.0,0.0,0.0,0,0
2026-07-02,AFC Unirea 04 Slobozia,M. Lemnaru,MF,0.0,0.0,0.0,0,0
2026-07-02,AFC Unirea 04 Slobozia,N. Carnat,FW,0.0,0.0,0.0,0,0
2026-07-02,AIK,M. Thychosen,DF,0.0,0.0,0.0,0,0
2026-07-02,AIK,Y. Geiger,MF,0.0,0.0,0.0,0,0
2026-07-02,AIK,K. Filling,FW,0.0,0.0,0.0,0,0
2026-07-02,AIK,A. Kouame,MF,0.0,0.0,0.0,0,0
2026-07-02,AIK,K. Joelsson,GK,0.0,0.0,0.0,0,0
2026-07-02,AIK,S. Papagiannopoulos,DF,0.0,0.0,0.0,0,0
2026-07-02,AIK,V. Andersson,MF,0.0,0.0,0.0,0,0
2026-07-02,AIK,T. Ayari,MF,0.0,0.0,0.0,0,0
2026-07-02,AIK,S. Gustafsson,FW,0.0,0.0,0.0,0,0
2026-07-02,AIK,A. Mujanić,MF,0.0,0.0,0.0,0,0
2026-07-02,AIK,C. Pavey,DF,0.0,0.0,0.0,0,0
2026-07-02,AIK,A. Faqa,DF,0.0,0.0,0.0,0,0
2026-07-02,AIK,A. Ali,MF,0.0,0.0,0.0,0,0
2026-07-02,APO Levadiakos,E. Çokaj,MF,0.0,0.0,0.0,0,0
2026-07-02,APO Levadiakos,O. Ozegović,FW,0.0,0.0,0.0,0,0
2026-07-02,APO Levadiakos,T. Filon,DF,0.0,0.0,0.0,0,0
2026-07-02,APO Levadiakos,C. Papadopoulos,MF,0.0,0.0,0.0,0,0
2026-07-02,APO Levadiakos,G. Manthatis,MF,0.0,0.0,0.0,0,0
2026-07-02,APO Levadiakos,Y. Lodygin,GK,0.0,0.0,0.0,0,0
2026-07-02,APO Levadiakos,H. Magnússon,DF,0.0,0.0,0.0,0,0
2026-07-02,APO Levadiakos,G. Balzi,MF,0.0,0.0,0.0,0,0
2026-07-02,APO Levadiakos,P. Symelidis,MF,0.0,0.0,0.0,0,0
2026-07-02,APO Levadiakos,B. Verbič,MF,0.0,0.0,0.0,0,0
2026-07-02,APO Levadiakos,G. Kosti,MF,0.0,0.0,0.0,0,0
2026-07-02,APO Levadiakos,F. Pedrozo,FW,0.0,0.0,0.0,0,0
2026-07-02,APS Atromitos Athinon,Quini,DF,0.0,0.0,0.0,0,0
2026-07-02,APS Atromitos Athinon,G. Tzovaras,FW,0.0,0.0,0.0,0,0
2026-07-02,APS Atromitos Athinon,P. Tsantilas,FW,0.0,0.0,0.0,0,0
2026-07-02,APS Atromitos Athinon,T. v. Weert,FW,0.0,0.0,0.0,0,0
2026-07-02,APS Atromitos Athinon,S. Abartzidis,MF,0.0,0.0,0.0,0,0
2026-07-02,APS Atromitos Athinon,L. Gugeshashvili,GK,0.0,0.0,0.0,0,0
2026-07-02,APS Atromitos Athinon,L. Choutesiotis,GK,0.0,0.0,0.0,0,0
2026-07-02,APS Atromitos Athinon,D. Tsakmakis,DF,0.0,0.0,0.0,0,0
2026-07-02,APS Atromitos Athinon,Mansur,DF,0.0,0.0,0.0,0,0
2026-07-02,APS Atromitos Athinon,T. Tsingaras,MF,0.0,0.0,0.0,0,0
2026-07-02,APS Atromitos Athinon,A. Karamanis,DF,0.0,0.0,0.0,0,0
2026-07-02,APS Atromitos Athinon,K. Batos,MF,0.0,0.0,0.0,0,0
2026-07-02,AS FAR Rabat,J. Ech-Chammakh,DF,0.0,0.0,0.0,0,0
2026-07-02,AS FAR Rabat,J. E. Khfiyef,FW,0.0,0.0,0.0,0,0
2026-07-02,AS FAR Rabat,N. Mbemba,MF,0.0,0.0,0.0,0,0
2026-07-02,AS FAR Rabat,H. Khabba,FW,0.0,0.0,0.0,0,0
2026-07-02,AS FAR Rabat,T. Razko,MF,0.0,0.0,0.0,0,0
2026-07-02,AS FAR Rabat,H. Mesbahi,GK,0.0,0.0,0.0,0,0
2026-07-02,AS FAR Rabat,A. A. Khassou,DF,0.0,0.0,0.0,0,0
2026-07-02,AS FAR Rabat,N. M. E. Abd,DF,0.0,0.0,0.0,0,0
2026-07-02,AS FAR Rabat,R. Coutinho,FW,0.0,0.0,0.0,0,0
