team,player,pos,last_seen,apps_season,mins_season,mins_30d
1. FSV Mainz 05,A. Sieb,FW,2026-05-03,0,0,0
1. FSV Mainz 05,D. Kohr,MF,2026-05-03,0,0,0
1. FSV Mainz 05,A. Caci,DF,2026-05-03,0,0,0
1. FSV Mainz 05,L. Maloney,MF,2026-05-03,0,0,0
1. FSV Mainz 05,N. Weiper,FW,2026-05-03,0,0,0
1. FSV Mainz 05,R. Zentner,GK,2026-05-03,0,0,0
1. FSV Mainz 05,N. Veratschnig,DF,2026-05-03,0,0,0
1. FSV Mainz 05,S. Kawasaki,MF,2026-05-03,0,0,0
AC Milan,Z. Athekame,DF,2026-05-03,0,0,0
AC Milan,R. Loftus-Cheek,MF,2026-05-03,0,0,0
AC Milan,S. Giménez,FW,2026-05-03,0,0,0
AC Milan,C. Pulišić,MF,2026-05-03,0,0,0
AC Milan,S. Ricci,MF,2026-05-03,0,0,0
AC Milan,M. Pittarella,GK,2026-05-03,0,0,0
AC Milan,P. Terracciano,GK,2026-05-03,0,0,0
AC Milan,K. De Winter,DF,2026-05-03,0,0,0
AC Milan,D. Bartesaghi,DF,2026-05-03,0,0,0
AC Milan,N. Füllkrug,FW,2026-05-03,0,0,0
AC Oulu,S. Sipola,DF,2026-05-08,0,0,0
AC Oulu,J. Mäkeläinen,MF,2026-05-08,0,0,0
AC Oulu,N. Jokelainen,MF,2026-05-08,0,0,0
AC Oulu,K. Jatta,FW,2026-05-08,0,0,0
AC Oulu,N. Schulz,GK,2026-05-08,0,0,0
AC Oulu,A. Lietsa,DF,2026-05-08,0,0,0
AC Oulu,A. Cassama,DF,2026-05-08,0,0,0
AC Oulu,S. Silander,DF,2026-05-08,0,0,0
AC Oulu,M. Ojala,MF,2026-05-08,0,0,0
AD Ceuta,S. Sánchez,FW,2026-05-09,0,0,0
AD Ceuta,M. Domenech,FW,2026-05-03,0,0,0
AD Ceuta,J. Matos,DF,2026-05-09,0,0,0
AD Ceuta,G. Almenara,DF,2026-05-09,0,0,0
AD Ceuta,J. Campaña,MF,2026-05-09,0,0,0
AD Ceuta,P. López,GK,2026-05-09,0,0,0
