date,player,from_team,to_team
2026-05-10,K. Nagai,Kashiwa Reysol,Nagoya Grampus
2026-05-10,N. Paraíba,Cuiabá,Operário-PR
2026-05-10,J. Liu,Tianjin Jinmen Tiger,Qingdao Hainiu
2026-05-10,S. Li,Wuhan Three Towns,Tianjin Jinmen Tiger
2026-05-10,C. Zhang,Qingdao West Coast,Dalian Yingbo FC
2026-05-10,J. Lee,Jeonbuk Hyundai Motors,Brooklyn FC
2026-05-10,A. Rodríguez,Atlas FC,Rhode Island FC
2026-05-10,Índio,Operário-PR,Juventude
2026-05-10,A. Sánchez,Mallorca,Atlas FC
2026-05-10,M. Yoshida,Kashima Antlers,LA Galaxy
2026-05-10,L. Silva,Cruzeiro,Vitória
2026-05-09,A. Gomes,Real Zaragoza,Wolverhampton
2026-05-09,B. Guèye,Sarpsborg 08,Antalyaspor
2026-05-09,S. Park,FC Seoul,Gimcheon Sangmu FC
2026-05-09,Enzo,Coritiba,Vila Nova FC
2026-05-09,J. Morcillo,Atlético Madrid,Almería
2026-05-09,Vitinho,PFK Montana 1921,Internacional
2026-05-09,H. Wang,Shanghai Shenhua,Chongqing Tonglianglong FC
2026-05-09,R. Ribeiro,FC Augsburg,Vila Nova FC
2026-05-09,B. Mendy,Sevilla,Pogoń Szczecin
2026-05-09,M. Diaz,Deportivo Alavés,Alhama Club de Fútbol
2026-05-09,Josema,AD Ceuta,Górnik Zabrze
2026-05-09,P. López,Real Betis,AD Ceuta
2026-05-08,C. Hamilton,Arbroath,Dunfermline Athletic
2026-05-07,N. Hernández,América de Cali,Deportivo La Guaira
2026-05-06,Y. Murillo,Deportivo Riestra,Universidad Central
2026-05-06,A. Velasco,Boca Juniors,Independiente del Valle
2026-05-05,K. Gun-Hee,Incheon United,Gangwon FC
2026-05-05,H. Lee,Gangwon FC,Ulsan HD
2026-05-03,S. Bell,1. FSV Mainz 05,Rivers United
2026-05-03,M. Kerkez,Liverpool FC,Aris Thessaloniki
2026-05-03,O. Johnson,Fortuna Sittard,Nasarawa United
2026-05-03,Luan,São Paulo,Londrina
2026-05-03,F. García,Burgos Club de Fútbol,São Bernardo
2026-05-03,F. González,Real Madrid,Real Racing Club
