fixture_id,temp_c,precip_mm,wind_kmh
924814091,21.6,0.0,18.3
1388633667,22.7,0.0,7.6
2266739354,23.4,0.0,9.1
2643243632,17.5,0.0,15.4
2425925159,18.0,0.0,19.9
3819451643,22.7,0.0,7.6
3412550455,17.7,0.0,14.6
3740820152,22.9,0.0,14.5
4091834461,20.2,0.0,17.4
3097294680,25.8,0.0,6.7
91365768,30.9,0.0,10.1
3527522518,32.9,0.0,15.9
4086068179,28.7,0.0,14.5
4176581061,29.1,0.0,10.3
2423781393,32.0,0.0,11.8
380710885,30.7,0.0,10.0
1125898120,32.9,0.0,15.9
1014886849,31.1,0.0,9.0
1929230511,32.0,0.0,15.5
1648432067,19.6,3.6,9.2
2560847552,22.6,0.0,18.8
1595350154,22.6,0.0,18.8
3315230853,21.2,0.1,30.1
3673807711,22.6,0.0,18.8
832347601,22.6,0.0,25.0
2354032491,20.9,0.0,24.8
1251520548,19.4,0.0,12.6
2863645344,23.4,0.0,8.2
2903296334,18.9,0.0,17.9
1005718223,20.2,1.0,9.0
746912681,24.0,0.0,7.2
3893776630,22.9,0.0,11.2
3390643301,19.9,0.5,12.8
481230055,22.9,0.0,11.2
150271393,19.7,0.0,14.5
957885129,21.3,0.1,3.2
1029394407,22.9,0.0,11.2
383235415,21.2,0.0,7.9
1574247297,20.9,0.0,9.0
3740399752,21.8,0.0,6.5
1868183964,22.7,0.0,18.2
2807508671,22.7,0.0,18.2
100979397,22.3,0.0,17.1
4052744983,18.4,0.0,11.4
1417061430,23.0,0.0,24.5
3975383574,22.5,0.1,21.0
782286392,21.1,0.0,19.4
2763928371,23.0,0.0,24.5
2778905665,21.1,0.0,18.7
3723438300,21.6,0.0,20.9
3190722613,20.6,0.0,18.4
2198801161,23.7,0.1,14.4
1505534770,23.7,0.1,14.4
1812182053,20.2,0.0,24.8
1024938091,22.5,0.1,17.1
914019079,23.7,0.1,14.4
366767879,19.4,0.4,14.8
1583648305,20.3,0.2,14.1
2509689342,20.9,0.0,14.6
3579377885,23.6,0.1,21.3
1826499092,14.1,0.2,21.2
840675354,14.3,0.0,23.1
3619477837,15.1,0.0,18.2
909439088,15.3,0.0,20.5
1648275946,16.2,0.0,16.8
1160298241,18.0,0.0,21.4
1504822981,14.6,0.1,23.6
3713465024,18.5,0.0,23.9
1777243828,17.9,0.1,26.8
2492921373,18.5,0.0,23.9
2267459535,18.5,0.0,23.9
1641807698,16.5,0.0,24.5
809673446,18.3,0.0,23.3
976407101,18.5,0.0,23.9
3282008788,15.7,0.0,17.0
2822479285,15.4,0.0,19.1
954151360,17.3,0.0,17.9
3095231340,16.0,0.0,11.2
3516488234,16.1,0.0,12.7
3564940222,14.2,0.0,18.0
1554396205,14.0,0.0,22.8
1467519959,14.9,0.0,13.0
3115973468,17.3,0.0,14.8
4130034750,17.3,0.0,14.8
1951477053,17.3,0.0,14.8
3466999118,15.9,0.0,23.9
1087546706,14.2,0.0,23.7
898738369,14.6,0.4,11.0
3864663071,14.7,0.0,24.5
625555021,16.5,0.1,26.8
110422735,14.3,0.0,25.5
3518461592,16.5,0.1,26.8
258906040,14.3,0.0,13.7
1307519126,12.8,0.0,15.2
1106473306,13.0,0.0,10.8
1331181130,15.5,0.1,16.6
461807796,12.9,0.0,13.0
4221463609,18.0,0.0,13.8
3764975656,17.4,0.0,13.8
110154758,17.6,0.0,34.2
759911644,15.7,0.0,28.5
2755634424,14.3,0.0,27.2
2425299627,12.0,0.0,24.0
1380544094,14.5,0.0,23.6
1677034974,16.6,0.2,12.6
3461808569,14.5,0.5,8.2
3541461641,16.4,0.0,22.6
1210520534,17.2,0.0,19.5
2604155421,16.5,0.1,20.3
2651065960,17.5,0.0,15.1
4065214755,16.1,0.1,16.3
268717212,14.5,0.0,19.2
3868098486,18.5,0.5,5.9
2041411638,16.6,0.1,17.6
3255427386,18.4,0.0,19.4
3583185048,14.6,0.2,25.0
1487387492,19.2,0.0,21.5
1271431612,18.5,0.0,26.9
3313781362,21.3,0.0,17.3
2612744093,19.4,0.0,12.0
2975427112,21.3,0.0,17.3
1762887486,12.3,0.0,17.7
3052139906,21.3,0.0,17.3
3503687031,16.7,0.1,18.9
2749818913,15.4,0.0,20.7
3003428912,14.3,0.0,24.1
1960211111,11.4,0.0,19.2
1847732687,11.9,0.0,23.8
1227517468,11.7,0.0,23.5
2940801023,12.0,0.0,22.6
3094242814,13.7,0.1,20.2
1225278062,13.0,5.1,23.5
1561394993,10.7,0.7,17.3
3460874698,12.3,0.1,21.7
1922285287,13.0,5.1,23.5
3954999945,13.0,5.1,23.5
3000593149,14.0,0.0,16.2
1580868936,15.6,0.0,21.1
2680869284,13.6,0.0,19.3
2979645168,14.5,0.0,13.1
1703519696,16.3,0.0,12.1
2523144795,16.3,0.0,12.1
2863511840,13.4,0.0,9.5
2260673753,14.1,0.0,12.6
207960759,13.5,0.0,15.7
3201043853,15.4,0.0,11.5
3672447395,7.2,0.0,17.4
2171349849,7.2,0.0,17.4
1857102231,6.3,0.0,23.2
990953204,5.9,0.0,23.0
2640181546,7.6,0.0,15.4
631348452,5.8,0.0,20.0
2942744339,7.2,0.0,17.4
3775783685,9.6,0.0,24.5
647844703,8.0,0.1,28.4
120549699,9.0,0.2,23.5
283497618,13.2,0.0,32.2
2453913731,10.9,0.1,25.3
1794420927,10.7,0.3,17.0
3118236398,12.6,0.9,43.1
522035204,12.8,1.4,32.4
3464038449,10.7,0.1,14.5
3010034066,6.6,0.2,4.8
681338128,12.9,0.4,46.7
3029077189,11.0,0.1,23.4
1933398579,10.2,0.0,28.3
3956893199,8.0,0.0,11.6
3009616398,10.5,0.1,32.3
2425308838,9.4,0.4,25.3
3514468149,9.6,0.1,29.4
3614219085,9.4,0.2,22.7
590856460,12.8,0.0,25.4
3264005373,10.4,0.1,34.0
2917452382,11.7,0.0,25.6
2214946878,13.0,0.0,33.3
1113081090,12.6,0.0,20.1
2894093414,11.8,0.1,32.4
587034128,8.2,0.0,30.4
2629777470,6.9,0.0,29.1
402062327,11.5,0.0,27.1
1935788052,7.0,0.0,32.8
232808207,7.6,0.0,25.6
2456374962,6.9,0.0,23.7
1583182580,10.9,0.0,26.1
3668697978,7.5,0.0,22.6
4207400819,5.7,0.0,16.4
3993481032,7.5,0.0,22.6
3383605693,4.5,0.0,14.7
2523179363,4.1,0.0,13.5
814366785,3.2,0.0,22.0
63377900,5.3,0.0,11.2
1638731287,3.3,0.0,7.2
1844830221,5.4,0.0,9.4
2427967451,5.3,0.0,4.8
5435888,5.3,0.0,4.8
1479362089,3.3,0.0,7.0
702802307,3.8,0.0,7.6
3750821298,1.5,0.0,0.8
1611216688,2.6,0.0,5.5
1438085861,12.3,0.0,19.5
2388347356,9.6,0.1,13.0
3974983864,8.4,0.0,15.2
299847051,9.4,0.0,11.3
1391401726,9.3,0.0,11.4
3305470016,9.0,0.0,13.2
4101040807,8.2,0.0,13.0
4014139056,10.5,0.0,16.3
3479653487,7.0,0.0,4.0
463329080,7.8,0.0,11.1
1880372376,6.3,0.0,14.4
3086727659,10.6,0.0,6.8
376668452,10.6,0.0,6.8
2299819087,10.6,0.0,6.8
4032499128,10.6,0.0,6.8
347016749,9.8,0.0,12.8
284819581,10.4,0.0,7.9
2165137253,10.5,0.0,6.3
1405557427,8.9,0.0,11.6
3329131198,9.5,0.0,11.6
3429123945,9.0,0.0,15.0
1892691086,12.9,0.0,19.3
674401527,12.8,0.1,23.9
1249631941,12.7,0.2,24.5
4008694671,10.2,0.0,28.0
2841099371,12.7,0.2,24.5
3273909046,12.2,0.0,25.2
2602266697,13.2,0.0,21.9
3717932427,12.5,0.2,24.1
1063843251,8.2,0.0,9.2
2261765014,11.4,0.0,17.4
1422411202,12.1,0.0,12.8
3233930739,8.5,0.0,9.4
1125250159,7.2,0.0,20.0
1806547318,5.8,0.0,26.3
748947278,5.5,0.0,23.7
1724124099,7.3,0.0,25.7
1446123887,7.3,0.0,25.3
1777397309,7.3,0.0,25.7
1064923906,7.1,0.0,22.0
564897844,7.1,0.0,19.2
211466783,7.5,0.0,15.8
2206493391,6.8,0.0,7.0
2593994150,6.6,0.0,13.1
1584844776,5.3,0.0,10.1
1656715999,6.7,0.0,12.1
3295167915,6.6,0.0,13.1
1984535858,5.3,0.0,11.2
557916167,6.0,0.0,10.4
3371776846,4.8,0.0,9.3
3238681488,5.9,0.0,19.6
3040733693,8.9,0.0,22.5
2868234790,6.3,0.0,25.9
1193623524,4.7,0.0,18.4
1016553169,3.0,0.0,6.6
2744675043,5.6,0.0,14.5
2548341289,7.5,0.0,15.0
846086217,7.5,0.0,15.0
4249670434,12.9,0.0,27.1
3380017662,13.1,0.0,30.5
2632828236,12.9,0.0,27.1
622042862,12.7,0.1,26.0
3438805187,7.6,0.1,15.2
1373908927,8.1,0.4,15.8
2559973423,14.6,0.0,21.7
1586362324,12.4,0.1,10.9
2417620619,12.0,0.5,7.9
3257876769,13.1,0.1,11.2
191420970,12.8,0.1,9.5
2686085763,12.0,0.5,7.9
2218577471,10.4,0.1,12.8
3784244223,9.7,0.1,14.7
3291888442,11.4,0.0,19.5
2081996029,10.6,0.2,11.7
2638826150,12.1,0.0,14.9
3928237155,11.4,0.0,19.5
526659112,9.1,0.1,20.4
2980025692,11.4,0.0,19.5
3018677339,10.1,0.0,17.0
564543105,8.6,0.0,10.6
3165519161,9.8,0.0,18.9
2814760884,9.9,0.0,11.6
3821774336,12.0,0.0,14.0
3570917413,11.2,0.0,9.9
1523034382,12.2,0.0,0.7
1497865168,10.2,0.1,16.3
3576205035,11.7,0.0,10.0
3370380092,14.5,0.0,11.5
620644995,13.5,0.0,10.5
2517728826,13.5,0.0,7.5
3337152013,13.5,0.0,7.5
2783043836,13.3,0.0,6.6
3180900701,13.5,0.0,7.5
1667320225,13.7,0.0,9.4
436417052,13.5,0.0,8.2
1578546808,12.1,0.0,18.9
639932889,12.9,0.0,25.5
2197657044,12.0,0.0,1.8
563754820,13.9,0.0,8.0
791575106,13.0,0.0,3.5
988959115,12.6,0.0,10.8
881446467,13.9,0.0,8.0
2642982402,11.8,0.0,1.8
235118141,12.7,0.1,3.4
2277015283,15.1,0.0,5.4
2318677635,12.9,0.0,13.6
1498167455,13.2,0.1,12.0
3347854987,11.0,0.1,13.3
4097260810,12.6,0.0,12.7
4221739576,12.6,0.0,12.7
541011470,12.6,0.0,12.7
4223501028,11.3,0.0,15.4
2745208336,10.4,1.6,12.0
2098365093,13.0,0.0,15.6
666885557,11.2,0.1,16.0
466575937,9.3,0.0,5.4
4219860400,8.9,0.0,3.8
1886793836,9.8,0.0,9.9
2205844973,10.8,0.0,8.3
3368779426,10.9,0.0,12.3
2748174940,10.9,0.0,12.3
3413068358,11.2,0.0,3.2
2418610722,11.8,0.0,23.1
169312204,11.2,0.6,16.5
291042187,12.5,0.1,17.7
3945745981,17.0,0.0,3.3
3682006053,17.0,0.0,3.3
2764631562,12.4,0.0,13.2
1686070883,11.7,0.0,9.0
3854670032,17.0,0.0,12.2
3475517677,13.1,0.3,20.1
2261680873,13.7,0.8,13.9
1799974181,15.2,0.1,16.6
307441219,15.5,0.2,20.1
1467175381,13.8,0.0,10.1
3780625426,15.0,0.0,20.4
4292490630,14.9,0.0,17.7
1889150515,16.1,0.0,16.3
3740920601,14.2,0.0,26.3
134170070,15.8,0.1,10.5
855761226,14.0,1.5,17.3
4091931299,14.4,0.1,18.1
1194529539,14.5,0.3,13.6
83950379,16.6,0.0,5.9
2001856173,18.0,0.1,8.7
1882135647,15.7,0.0,23.4
1098154066,13.0,0.0,19.8
1690540742,16.4,0.1,23.8
2877362053,14.7,0.0,3.8
3090274215,14.2,0.0,8.9
2325245219,13.9,0.0,16.7
1868952843,13.9,0.0,16.7
1162588353,17.3,0.0,2.6
2939201842,13.2,0.0,14.5
2101621583,18.6,0.0,4.7
785120037,16.3,0.0,9.8
2611125573,18.6,0.0,4.7
505596158,13.6,0.1,18.4
4271495949,17.1,0.0,11.6
577551745,18.5,0.0,20.7
1662433227,18.2,0.0,19.6
516452496,18.5,0.0,20.7
4021955339,19.1,0.0,6.9
4285043902,17.6,0.0,16.6
43024007,17.0,0.0,16.6
2764994390,18.0,0.0,20.5
2110314232,16.8,0.0,20.8
366552519,19.4,0.0,12.1
2666084673,14.2,0.0,15.0
1116102099,18.1,0.0,4.0
2230064883,17.9,0.0,10.6
522735469,20.9,0.0,20.4
3294180648,18.2,0.2,15.3
1978385053,20.9,0.0,20.4
85389259,20.9,0.0,20.4
2343379426,20.9,0.0,20.4
64238702,15.6,0.0,19.2
66263521,15.1,0.4,16.3
3487722612,18.6,0.0,16.4
3402273857,17.4,0.0,17.6
1266086704,21.7,0.0,18.8
2324645788,20.6,0.2,27.2
3236465038,21.0,0.1,32.6
1338426920,18.8,0.3,32.4
3803205545,18.2,0.2,35.2
82816357,20.4,0.1,26.5
1407547746,19.4,0.5,27.5
3788041986,20.9,0.2,20.8
2196774745,21.9,0.0,25.8
3212435583,21.9,0.0,25.8
3650527846,19.9,0.3,17.4
3148064086,18.8,0.2,24.5
305464352,23.0,0.0,26.0
293912876,21.6,0.0,26.0
2985441789,21.6,0.0,25.9
2395719508,23.0,0.0,26.0
96288617,21.7,0.3,26.1
3352764130,21.2,0.2,21.0
3217226415,23.8,0.0,15.8
3046178356,24.3,0.0,20.7
3883580055,19.7,0.0,15.9
28839719,15.9,5.7,17.1
1481495843,18.8,0.2,15.2
614639977,18.8,0.2,15.2
2782562606,16.6,0.1,19.9
3747582815,16.0,2.5,9.4
432028071,18.3,0.2,23.2
66580911,14.9,0.3,24.9
3420668675,16.8,0.0,23.5
3872017632,15.6,4.3,8.9
1557535789,20.5,0.2,4.4
2300816868,21.0,0.0,2.6
1457861680,23.2,0.0,14.4
4009603092,20.7,0.0,5.7
2450503373,23.2,0.0,14.4
4148602159,21.8,0.0,4.4
2474603014,22.0,0.0,9.9
581129360,24.4,0.0,2.8
225124303,22.8,0.0,1.8
491716916,24.4,0.0,2.8
2718323122,18.7,0.0,15.8
741855981,19.8,0.0,18.2
4051483875,25.9,0.0,10.0
777349199,17.1,0.0,19.8
2825960134,25.9,0.0,10.0
1587369427,25.9,0.0,10.0
3158917893,13.9,0.1,22.1
2617585133,19.7,0.1,22.6
1169829072,19.5,0.0,17.3
3151977847,16.4,0.0,29.2
1766412700,17.0,0.0,14.3
2538311097,15.8,0.0,15.8
3198010715,15.0,0.0,12.3
1561049775,17.0,0.0,14.3
3158206778,13.8,0.1,15.0
3458917323,20.1,0.0,29.7
329587500,18.2,0.0,29.2
3663936570,20.1,0.0,29.7
1809107658,19.5,0.0,30.3
887306356,19.1,0.1,30.2
4111866802,15.0,0.3,11.7
3257151789,17.4,0.0,20.9
1137454905,13.8,1.2,14.6
2526694406,14.0,0.7,12.3
3370297672,15.1,0.1,13.4
3106453723,19.0,0.0,18.8
2663116419,14.3,0.2,13.0
