team,group,elo,elo_adj,win_group,reach_R32,reach_R16,reach_QF,reach_SF,reach_final,champion
Spain,H,2288,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5017
Argentina,J,2265,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4984
South Africa,A,1693,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Iran,G,1879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,G,1673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,H,1911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,H,1705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,H,1701,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
France,I,2182,-10.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Norway,I,2017,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Senegal,I,1869,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Iraq,I,1669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,A,2018,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Austria,J,1881,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Algeria,J,1847,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jordan,J,1712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,K,2051,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Colombia,K,2075,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Uzbekistan,K,1728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,K,1802,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
England,L,2138,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Croatia,L,1942,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ghana,L,1687,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Egypt,G,1849,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Belgium,G,2015,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Tunisia,F,1660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,C,1819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,A,1836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,A,1753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,B,1845,-3.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,B,1687,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Qatar,B,1551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,B,1999,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Brazil,C,2065,-28.6,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Morocco,C,2028,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Haiti,C,1650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,D,1863,-13.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Sweden,F,1801,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Paraguay,D,1888,-14.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Australia,D,1900,-6.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Turkey,D,1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,E,1989,-8.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Curaçao,E,1593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivory Coast,E,1843,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ecuador,E,1949,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Netherlands,F,2045,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Japan,F,1971,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Panama,L,1762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
