fixture_id,signature,status,kickoff_utc,local_date,venue_tz,home_team,away_team,competition,category,city,country,neutral,home_score,away_score,provider,provider_event_id,observed_at,raw_ref,conflict
e989c5e36bd90584,russia|mali|friendly,scheduled,2026-03-31T16:00:00+00:00,2026-03-31,Europe/Moscow,Russia,Mali,Friendly,friendly,Moscow,Russia,False,,,bsd,9074,2026-08-08T19:03:53+00:00,,"local_date derived from MODAL home venue Moscow, only 40% of home matches — low confidence, not a named venue"
765157dc8341c43d,thailand|turkmenistan|friendly,scheduled,2026-03-31T11:30:00+00:00,2026-03-31,Asia/Bangkok,Thailand,Turkmenistan,Friendly,friendly,Bangkok,Thailand,False,,,bsd,9069,2026-08-08T19:03:53+00:00,,"local_date derived from MODAL home venue Bangkok, only 49% of home matches — low confidence, not a named venue"
0ccc1a62ef1b5d31,pakistan|bangladesh|friendly,scheduled,2026-06-01T11:00:00+00:00,2026-06-01,Asia/Karachi,Pakistan,Bangladesh,Friendly,friendly,,,False,,,bsd,207949,2026-08-08T19:03:53+00:00,,"local_date derived from home venue Islamabad (100% of home matches), not a named venue"
ac12bd0ceb455a15,afghanistan|bangladesh|friendly,scheduled,2026-06-04T16:00:00+00:00,2026-06-04,,Afghanistan,Bangladesh,Friendly,friendly,,,False,,,bsd,209429,2026-08-08T19:03:53+00:00,,venue timezone unresolved; local_date is the UTC date (no venue)
f4f6be591d17375f,burundi|equatorial guinea|friendly,scheduled,2026-06-04T16:00:00+00:00,2026-06-04,Africa/Bujumbura,Burundi,Equatorial Guinea,Friendly,friendly,,,False,,,bsd,209436,2026-08-08T19:03:53+00:00,,"local_date derived from home venue Bujumbura (100% of home matches), not a named venue"
cdb839f6b2b13337,iran|mali|friendly,scheduled,2026-06-04T15:30:00+00:00,2026-06-04,Asia/Tehran,Iran,Mali,Friendly,friendly,Tehran,Iran,False,,,bsd,209435,2026-08-08T19:03:53+00:00,,"local_date derived from home venue Tehran (85% of home matches), not a named venue"
b852335f2a0e9794,estonia|faroe islands|friendly,scheduled,2026-06-06T15:00:00+00:00,2026-06-06,Europe/Tallinn,Estonia,Faroe Islands,Friendly,friendly,,,False,,,bsd,207430,2026-08-08T19:03:53+00:00,,"local_date derived from home venue Tallinn (93% of home matches), not a named venue"
4954b5b0454acda6,india|palestine|friendly,scheduled,2026-06-06T13:00:00+00:00,2026-06-06,Asia/Kolkata,India,Palestine,Friendly,friendly,,,False,,,bsd,207435,2026-08-08T19:03:53+00:00,,"local_date derived from MODAL home venue Bengaluru, only 20% of home matches — low confidence, not a named venue"
5644569b496bfca2,vanuatu|fiji|friendly,scheduled,2026-06-06T10:00:00+00:00,2026-06-06,Pacific/Efate,Vanuatu,Fiji,Friendly,friendly,,,False,,,bsd,209444,2026-08-08T19:03:53+00:00,,"local_date derived from home venue Port Vila (100% of home matches), not a named venue"
ef16bc48c4f7c076,maldives|bangladesh|friendly,scheduled,2026-06-07T16:00:00+00:00,2026-06-07,Indian/Maldives,Maldives,Bangladesh,Friendly,friendly,,,False,,,bsd,207954,2026-08-08T19:03:53+00:00,,"local_date derived from home venue Malé (95% of home matches), not a named venue"
