city,country,latitude,longitude,elevation_m,timezone,resolved_country,source,resolved_at
Sukhumi,Georgia,43.00697,40.9893,21.0,Europe/Moscow,Georgia,open-meteo,2026-08-08T18:53:25+00:00
Tirana,Albania,41.32744,19.81866,113.0,Europe/Tirane,Albania,open-meteo,2026-08-08T18:53:25+00:00
Elbasan,Albania,41.11138,20.08224,126.0,Europe/Tirane,Albania,open-meteo,2026-08-08T18:53:26+00:00
Shkodër,Albania,42.06828,19.51258,12.0,Europe/Tirane,Albania,open-meteo,2026-08-08T18:53:27+00:00
Alderney,Alderney,,,,,,open-meteo,2026-08-08T18:53:27+00:00
Blida,Algeria,36.47004,2.8277,256.0,Africa/Algiers,Algeria,open-meteo,2026-08-08T18:53:28+00:00
Algiers,Algeria,36.73225,3.08746,113.0,Africa/Algiers,Algeria,open-meteo,2026-08-08T18:53:28+00:00
Oran,Algeria,35.69906,-0.63588,118.0,Africa/Algiers,Algeria,open-meteo,2026-08-08T18:53:29+00:00
Constantine,Algeria,36.365,6.61472,574.0,Africa/Algiers,Algeria,open-meteo,2026-08-08T18:53:29+00:00
Tizi Ouzou,Algeria,36.71182,4.04591,206.0,Africa/Algiers,Algeria,open-meteo,2026-08-08T18:53:30+00:00
Annaba,Algeria,36.9,7.76667,5.0,Africa/Algiers,Algeria,open-meteo,2026-08-08T18:53:30+00:00
Bir El Djir,Algeria,35.72,-0.545,162.0,Africa/Algiers,Algeria,open-meteo,2026-08-08T18:53:31+00:00
Sidi Moussa,Algeria,36.60637,3.08783,46.0,Africa/Algiers,Algeria,open-meteo,2026-08-08T18:53:31+00:00
Andorra la Vella,Andorra,42.50779,1.52109,1037.0,Europe/Andorra,Andorra,open-meteo,2026-08-08T18:53:32+00:00
Sant Julià de Lòria,Andorra,42.46372,1.49129,921.0,Europe/Andorra,Andorra,open-meteo,2026-08-08T18:53:32+00:00
Encamp,Andorra,42.53474,1.58014,1257.0,Europe/Andorra,Andorra,open-meteo,2026-08-08T18:53:33+00:00
Luanda,Angola,-8.83682,13.23432,73.0,Africa/Luanda,Angola,open-meteo,2026-08-08T18:53:33+00:00
Lubango,Angola,-14.91717,13.4925,1760.0,Africa/Luanda,Angola,open-meteo,2026-08-08T18:53:34+00:00
Talatona,Angola,-8.91783,13.18562,56.0,Africa/Luanda,Angola,open-meteo,2026-08-08T18:53:35+00:00
The Valley,Anguilla,,,,,,open-meteo,2026-08-08T18:53:35+00:00
North Sound,Antigua and Barbuda,17.09563,-61.78366,24.0,America/Antigua,Antigua and Barbuda,open-meteo,2026-08-08T18:53:36+00:00
Piggotts,Antigua and Barbuda,17.11667,-61.8,11.0,America/Antigua,Antigua and Barbuda,open-meteo,2026-08-08T18:53:36+00:00
St. John's,Antigua and Barbuda,,,,,,open-meteo,2026-08-08T18:53:37+00:00
Buenos Aires,Argentina,-34.61315,-58.37723,31.0,America/Argentina/Buenos_Aires,Argentina,open-meteo,2026-08-08T18:53:37+00:00
Córdoba,Argentina,-31.40648,-64.18853,378.0,America/Argentina/Cordoba,Argentina,open-meteo,2026-08-08T18:53:38+00:00
San Juan,Argentina,-31.53726,-68.52568,646.0,America/Argentina/San_Juan,Argentina,open-meteo,2026-08-08T18:53:38+00:00
Mendoza,Argentina,-32.88946,-68.84582,853.0,America/Argentina/Mendoza,Argentina,open-meteo,2026-08-08T18:53:39+00:00
Santiago del Estero,Argentina,-27.80047,-64.26285,176.0,America/Argentina/Cordoba,Argentina,open-meteo,2026-08-08T18:53:39+00:00
Yerevan,Armenia,40.17765,44.5126,1002.0,Asia/Yerevan,Armenia,open-meteo,2026-08-08T18:53:40+00:00
Martuni,Azerbaijan,39.79496,47.1117,391.0,Asia/Baku,Azerbaijan,open-meteo,2026-08-08T18:53:40+00:00
Stepanakert,Azerbaijan,39.9013,46.7871,591.0,Asia/Baku,Azerbaijan,open-meteo,2026-08-08T18:53:41+00:00
Sydney,Australia,-33.86785,151.20732,58.0,Australia/Sydney,Australia,open-meteo,2026-08-08T18:53:42+00:00
Melbourne,Australia,-37.814,144.96332,25.0,Australia/Melbourne,Australia,open-meteo,2026-08-08T18:53:43+00:00
Canberra,Australia,-35.28346,149.12807,571.0,Australia/Sydney,Australia,open-meteo,2026-08-08T18:53:43+00:00
Perth,Australia,-31.95224,115.8614,34.0,Australia/Perth,Australia,open-meteo,2026-08-08T18:53:44+00:00
Adelaide,Australia,-34.92866,138.59863,59.0,Australia/Adelaide,Australia,open-meteo,2026-08-08T18:53:44+00:00
Brisbane,Australia,-27.46794,153.02809,27.0,Australia/Brisbane,Australia,open-meteo,2026-08-08T18:53:45+00:00
Robina,Australia,-28.07071,153.3933,22.0,Australia/Brisbane,Australia,open-meteo,2026-08-08T18:53:45+00:00
Vienna,Austria,48.20849,16.37208,171.0,Europe/Vienna,Austria,open-meteo,2026-08-08T18:53:46+00:00
Klagenfurt,Austria,46.62472,14.30528,450.0,Europe/Vienna,Austria,open-meteo,2026-08-08T18:53:46+00:00
Pasching,Austria,48.25931,14.20369,294.0,Europe/Vienna,Austria,open-meteo,2026-08-08T18:53:47+00:00
Innsbruck,Austria,47.26266,11.39454,570.0,Europe/Vienna,Austria,open-meteo,2026-08-08T18:53:47+00:00
Linz,Austria,48.30639,14.28611,266.0,Europe/Vienna,Austria,open-meteo,2026-08-08T18:53:48+00:00
Salzburg,Austria,47.79941,13.04399,424.0,Europe/Vienna,Austria,open-meteo,2026-08-08T18:53:49+00:00
Baku,Azerbaijan,40.37767,49.89201,23.0,Asia/Baku,Azerbaijan,open-meteo,2026-08-08T18:53:49+00:00
Sumgait,Azerbaijan,,,,,,open-meteo,2026-08-08T18:53:50+00:00
Mardakan,Azerbaijan,40.49182,50.14292,4.0,Asia/Baku,Azerbaijan,open-meteo,2026-08-08T18:53:50+00:00
Gabala,Azerbaijan,40.98139,47.84583,783.0,Asia/Baku,Azerbaijan,open-meteo,2026-08-08T18:53:51+00:00
Masazir,Azerbaijan,,,,,,open-meteo,2026-08-08T18:53:51+00:00
Nassau,Bahamas,25.05823,-77.34306,5.0,America/Nassau,Bahamas,open-meteo,2026-08-08T18:53:52+00:00
Riffa,Bahrain,26.13,50.555,43.0,Asia/Bahrain,Bahrain,open-meteo,2026-08-08T18:53:52+00:00
Isa Town,Bahrain,26.17361,50.54778,7.0,Asia/Bahrain,Bahrain,open-meteo,2026-08-08T18:53:53+00:00
Arad,Bahrain,26.25611,50.63222,7.0,Asia/Bahrain,Bahrain,open-meteo,2026-08-08T18:53:53+00:00
East Riffa,Bahrain,,,,,,open-meteo,2026-08-08T18:53:54+00:00
Dhaka,Bangladesh,23.7104,90.40744,23.0,Asia/Dhaka,Bangladesh,open-meteo,2026-08-08T18:53:54+00:00
Sylhet,Bangladesh,24.89904,91.87198,26.0,Asia/Dhaka,Bangladesh,open-meteo,2026-08-08T18:53:55+00:00
Nilphamari Sadar,Bangladesh,,,,,,open-meteo,2026-08-08T18:53:56+00:00
Bridgetown,Barbados,13.10732,-59.62021,10.0,America/Barbados,Barbados,open-meteo,2026-08-08T18:53:59+00:00
Wildey,Barbados,13.09385,-59.5834,76.0,America/Barbados,Barbados,open-meteo,2026-08-08T18:54:00+00:00
Bilbao,Spain,43.26271,-2.92528,20.0,Europe/Madrid,Spain,open-meteo,2026-08-08T18:54:00+00:00
Eibar,Spain,43.18493,-2.47158,133.0,Europe/Madrid,Spain,open-meteo,2026-08-08T18:54:01+00:00
Vitoria-Gasteiz,Spain,42.84998,-2.67268,547.0,Europe/Madrid,Spain,open-meteo,2026-08-08T18:54:02+00:00
Minsk,Belarus,53.90019,27.56653,222.0,Europe/Minsk,Belarus,open-meteo,2026-08-08T18:54:02+00:00
Borisov,Belarus,54.2279,28.505,172.0,Europe/Minsk,Belarus,open-meteo,2026-08-08T18:54:03+00:00
Brest,Belarus,52.10894,23.71749,144.0,Europe/Minsk,Belarus,open-meteo,2026-08-08T18:54:03+00:00
Zhodzina,Belarus,54.0985,28.3331,171.0,Europe/Minsk,Belarus,open-meteo,2026-08-08T18:54:04+00:00
Brussels,Belgium,50.85045,4.34878,28.0,Europe/Brussels,Belgium,open-meteo,2026-08-08T18:54:04+00:00
Leuven,Belgium,50.87959,4.70093,28.0,Europe/Brussels,Belgium,open-meteo,2026-08-08T18:54:05+00:00
Anderlecht,Belgium,50.83619,4.31454,27.0,Europe/Brussels,Belgium,open-meteo,2026-08-08T18:54:05+00:00
Liège,Belgium,50.63373,5.56749,66.0,Europe/Brussels,Belgium,open-meteo,2026-08-08T18:54:06+00:00
Bruges,Belgium,51.20892,3.22424,13.0,Europe/Brussels,Belgium,open-meteo,2026-08-08T18:54:06+00:00
Genk,Belgium,50.965,5.50082,66.0,Europe/Brussels,Belgium,open-meteo,2026-08-08T18:54:07+00:00
Ghent,Belgium,51.05,3.71667,10.0,Europe/Brussels,Belgium,open-meteo,2026-08-08T18:54:07+00:00
Belmopan,Belize,17.25376,-88.76401,56.0,America/Belize,Belize,open-meteo,2026-08-08T18:54:08+00:00
San Pedro,Belize,,,,,,open-meteo,2026-08-08T18:54:08+00:00
Cotonou,Benin,6.36536,2.41833,7.0,Africa/Porto-Novo,Benin,open-meteo,2026-08-08T18:54:09+00:00
Porto-Novo,Benin,6.49646,2.60359,20.0,Africa/Porto-Novo,Benin,open-meteo,2026-08-08T18:54:10+00:00
Hamilton,Bermuda,,,,,,open-meteo,2026-08-08T18:54:10+00:00
Devonshire Parish,Bermuda,,,,,,open-meteo,2026-08-08T18:54:11+00:00
Thimphu,Bhutan,27.46609,89.64191,2320.0,Asia/Thimphu,Bhutan,open-meteo,2026-08-08T18:54:11+00:00
La Paz,Bolivia,-16.5,-68.15,3782.0,America/La_Paz,Bolivia,open-meteo,2026-08-08T18:54:12+00:00
El Alto,Bolivia,,,,,,open-meteo,2026-08-08T18:54:12+00:00
Santa Cruz,Bolivia,,,,,,open-meteo,2026-08-08T18:54:13+00:00
Cochabamba,Bolivia,-17.38195,-66.15995,2537.0,America/La_Paz,Bolivia,open-meteo,2026-08-08T18:54:13+00:00
Sucre,Bolivia,-19.03332,-65.26274,2798.0,America/La_Paz,Bolivia,open-meteo,2026-08-08T18:54:14+00:00
Tarija,Bolivia,-21.53549,-64.72956,1870.0,America/La_Paz,Bolivia,open-meteo,2026-08-08T18:54:14+00:00
Villa Tunari,Bolivia,-18.79068,-68.61084,3857.0,America/La_Paz,Bolivia,open-meteo,2026-08-08T18:54:15+00:00
Yacuiba,Bolivia,-22.01643,-63.67753,629.0,America/La_Paz,Bolivia,open-meteo,2026-08-08T18:54:15+00:00
Zenica,Bosnia and Herzegovina,44.20169,17.90397,325.0,Europe/Sarajevo,Bosnia and Herzegovina,open-meteo,2026-08-08T18:54:22+00:00
Sarajevo,Bosnia and Herzegovina,43.84864,18.35644,509.0,Europe/Sarajevo,Bosnia and Herzegovina,open-meteo,2026-08-08T18:54:22+00:00
Francistown,Botswana,-21.17,27.50778,989.0,Africa/Gaborone,Botswana,open-meteo,2026-08-08T18:54:23+00:00
Gaborone,Botswana,-24.65451,25.90859,1011.0,Africa/Gaborone,Botswana,open-meteo,2026-08-08T18:54:23+00:00
Lobatse,Botswana,-25.22435,25.67728,1191.0,Africa/Gaborone,Botswana,open-meteo,2026-08-08T18:54:24+00:00
Rio de Janeiro,Brazil,-22.90642,-43.18223,12.0,America/Sao_Paulo,Brazil,open-meteo,2026-08-08T18:54:24+00:00
São Paulo,Brazil,-23.5475,-46.63611,769.0,America/Sao_Paulo,Brazil,open-meteo,2026-08-08T18:54:25+00:00
Brasília,Brazil,-15.77972,-47.92972,1136.0,America/Sao_Paulo,Brazil,open-meteo,2026-08-08T18:54:25+00:00
Porto Alegre,Brazil,-30.03283,-51.23019,46.0,America/Sao_Paulo,Brazil,open-meteo,2026-08-08T18:54:26+00:00
Belo Horizonte,Brazil,-19.92083,-43.93778,888.0,America/Sao_Paulo,Brazil,open-meteo,2026-08-08T18:54:26+00:00
Manaus,Brazil,-3.10194,-60.025,20.0,America/Manaus,Brazil,open-meteo,2026-08-08T18:54:27+00:00
Salvador,Brazil,-12.97563,-38.49096,4.0,America/Bahia,Brazil,open-meteo,2026-08-08T18:54:28+00:00
Belém,Brazil,-1.45583,-48.50444,15.0,America/Belem,Brazil,open-meteo,2026-08-08T18:54:28+00:00
Cuiabá,Brazil,-15.59611,-56.09667,193.0,America/Cuiaba,Brazil,open-meteo,2026-08-08T18:54:29+00:00
Curitiba,Brazil,-25.42778,-49.27306,924.0,America/Sao_Paulo,Brazil,open-meteo,2026-08-08T18:54:29+00:00
Goiânia,Brazil,-16.67861,-49.25389,766.0,America/Sao_Paulo,Brazil,open-meteo,2026-08-08T18:54:30+00:00
Natal,Brazil,-5.795,-35.20944,32.0,America/Fortaleza,Brazil,open-meteo,2026-08-08T18:54:30+00:00
Recife,Brazil,-8.05389,-34.88111,8.0,America/Recife,Brazil,open-meteo,2026-08-08T18:54:31+00:00
Road Town,British Virgin Islands,,,,,,open-meteo,2026-08-08T18:54:31+00:00
Tortola,British Virgin Islands,,,,,,open-meteo,2026-08-08T18:54:32+00:00
Bandar Seri Begawan,Brunei,4.89035,114.94006,10.0,Asia/Brunei,Brunei,open-meteo,2026-08-08T18:54:32+00:00
Sofia,Bulgaria,42.69751,23.32415,562.0,Europe/Sofia,Bulgaria,open-meteo,2026-08-08T18:54:33+00:00
Plovdiv,Bulgaria,42.15387,24.75001,163.0,Europe/Sofia,Bulgaria,open-meteo,2026-08-08T18:54:33+00:00
Razgrad,Bulgaria,43.53331,26.51849,190.0,Europe/Sofia,Bulgaria,open-meteo,2026-08-08T18:54:34+00:00
Ouagadougou,Burkina Faso,12.36566,-1.53388,299.0,Africa/Ouagadougou,Burkina Faso,open-meteo,2026-08-08T18:54:35+00:00
Bujumbura,Burundi,-3.38193,29.36142,807.0,Africa/Bujumbura,Burundi,open-meteo,2026-08-08T18:54:35+00:00
Phnom Penh,Cambodia,11.56245,104.91601,20.0,Asia/Phnom_Penh,Cambodia,open-meteo,2026-08-08T18:54:36+00:00
Yaoundé,Cameroon,3.86667,11.51667,726.0,Africa/Douala,Cameroon,open-meteo,2026-08-08T18:54:36+00:00
Douala,Cameroon,4.04827,9.70428,19.0,Africa/Douala,Cameroon,open-meteo,2026-08-08T18:54:37+00:00
Limbé,Cameroon,4.02356,9.20607,74.0,Africa/Douala,Cameroon,open-meteo,2026-08-08T18:54:37+00:00
Garoua,Cameroon,9.30143,13.39771,199.0,Africa/Douala,Cameroon,open-meteo,2026-08-08T18:54:38+00:00
Majadahonda,Cameroon,,,,,,open-meteo,2026-08-08T18:54:38+00:00
Toronto,Canada,43.70643,-79.39864,161.0,America/Toronto,Canada,open-meteo,2026-08-08T18:54:39+00:00
Vancouver,Canada,49.24966,-123.11934,70.0,America/Vancouver,Canada,open-meteo,2026-08-08T18:54:39+00:00
