snapshot_at,fixture_id,provider_event_id,kickoff_utc,home_team,away_team,competition,market,side,line,odds,bookmaker,provider,hours_to_kickoff,status
2026-08-08T15:53:05+00:00,1b99d7217ee50a12,223069,2026-09-23T18:00:00+00:00,Aruba,Antigua and Barbuda,CONCACAF Nations League,,,,,,bsd,1106.12,no_odds_returned
2026-08-08T15:53:05+00:00,d010fdc23c31e58e,223068,2026-09-23T18:00:00+00:00,Turks and Caicos Islands,Montserrat,CONCACAF Nations League,,,,,,bsd,1106.12,no_odds_returned
2026-08-08T15:53:06+00:00,dc6319db5dc846f2,212589,2026-09-24T16:00:00+00:00,Andorra,Malta,UEFA Nations League,,,,,,bsd,1128.12,no_odds_returned
2026-08-08T15:53:06+00:00,8fe8f48381de7448,223074,2026-09-24T18:00:00+00:00,Cayman Islands,Dominica,CONCACAF Nations League,,,,,,bsd,1130.12,no_odds_returned
2026-08-08T15:53:07+00:00,fa5a15d873233845,223071,2026-09-24T18:00:00+00:00,Costa Rica,Curaçao,CONCACAF Nations League,,,,,,bsd,1130.11,no_odds_returned
2026-08-08T15:53:07+00:00,9500c064d19a89d1,223072,2026-09-24T18:00:00+00:00,Dominican Republic,Nicaragua,CONCACAF Nations League,,,,,,bsd,1130.11,no_odds_returned
2026-08-08T15:53:07+00:00,7b2d904d0388ae7c,223073,2026-09-24T18:00:00+00:00,Haiti,Trinidad and Tobago,CONCACAF Nations League,,,,,,bsd,1130.11,no_odds_returned
2026-08-08T15:53:08+00:00,be47ae26a5034b4b,223075,2026-09-24T18:00:00+00:00,Puerto Rico,Guyana,CONCACAF Nations League,,,,,,bsd,1130.11,no_odds_returned
2026-08-08T15:53:12+00:00,e62e280859134fee,212608,2026-09-24T18:45:00+00:00,Slovenia,North Macedonia,UEFA Nations League,,,,,,bsd,1130.86,no_odds_returned
2026-08-08T15:53:16+00:00,d44ee730922ca916,212582,2026-09-24T18:45:00+00:00,Serbia,Greece,UEFA Nations League,,,,,,bsd,1130.86,no_odds_returned
2026-08-08T15:53:26+00:00,56d3ef566df1fd65,212584,2026-09-24T18:45:00+00:00,Portugal,Wales,UEFA Nations League,,,,,,bsd,1130.86,no_odds_returned
2026-08-08T15:53:26+00:00,79e96e3f8837d24e,212583,2026-09-24T18:45:00+00:00,Norway,Denmark,UEFA Nations League,,,,,,bsd,1130.86,no_odds_returned
