team,city,country,matches,share,rank,latitude,longitude,elevation_m,timezone
Abkhazia,Sukhumi,Georgia,1,1.0,1,43.00697,40.9893,21.0,Europe/Moscow
Albania,Tirana,Albania,28,0.5957,1,41.32744,19.81866,113.0,Europe/Tirane
Albania,Elbasan,Albania,13,0.2766,2,41.11138,20.08224,126.0,Europe/Tirane
Albania,Shkodër,Albania,6,0.1277,3,42.06828,19.51258,12.0,Europe/Tirane
Alderney,Alderney,Alderney,5,1.0,1,,,,
Algeria,Blida,Algeria,16,0.3404,1,36.47004,2.8277,256.0,Africa/Algiers
Algeria,Algiers,Algeria,13,0.2766,2,36.73225,3.08746,113.0,Africa/Algiers
Algeria,Oran,Algeria,5,0.1064,3,35.69906,-0.63588,118.0,Africa/Algiers
Algeria,Constantine,Algeria,4,0.0851,4,36.365,6.61472,574.0,Africa/Algiers
Algeria,Tizi Ouzou,Algeria,4,0.0851,5,36.71182,4.04591,206.0,Africa/Algiers
Algeria,Annaba,Algeria,3,0.0638,6,36.9,7.76667,5.0,Africa/Algiers
Algeria,Bir El Djir,Algeria,1,0.0213,7,35.72,-0.545,162.0,Africa/Algiers
Algeria,Sidi Moussa,Algeria,1,0.0213,8,36.60637,3.08783,46.0,Africa/Algiers
Andorra,Andorra la Vella,Andorra,33,0.8049,1,42.50779,1.52109,1037.0,Europe/Andorra
Andorra,Sant Julià de Lòria,Andorra,5,0.122,2,42.46372,1.49129,921.0,Europe/Andorra
Andorra,Encamp,Andorra,3,0.0732,3,42.53474,1.58014,1257.0,Europe/Andorra
Angola,Luanda,Angola,22,0.9167,1,-8.83682,13.23432,73.0,Africa/Luanda
Angola,Lubango,Angola,1,0.0417,2,-14.91717,13.4925,1760.0,Africa/Luanda
Angola,Talatona,Angola,1,0.0417,3,-8.91783,13.18562,56.0,Africa/Luanda
Anguilla,The Valley,Anguilla,12,1.0,1,,,,
Antigua and Barbuda,North Sound,Antigua and Barbuda,10,0.5263,1,17.09563,-61.78366,24.0,America/Antigua
Antigua and Barbuda,Piggotts,Antigua and Barbuda,6,0.3158,2,17.11667,-61.8,11.0,America/Antigua
Antigua and Barbuda,St. John's,Antigua and Barbuda,3,0.1579,3,,,,
Argentina,Buenos Aires,Argentina,22,0.6875,1,-34.61315,-58.37723,31.0,America/Argentina/Buenos_Aires
Argentina,Córdoba,Argentina,3,0.0938,2,-31.40648,-64.18853,378.0,America/Argentina/Cordoba
Argentina,San Juan,Argentina,3,0.0938,3,-31.53726,-68.52568,646.0,America/Argentina/San_Juan
Argentina,Mendoza,Argentina,2,0.0625,4,-32.88946,-68.84582,853.0,America/Argentina/Mendoza
Argentina,Santiago del Estero,Argentina,2,0.0625,5,-27.80047,-64.26285,176.0,America/Argentina/Cordoba
Armenia,Yerevan,Armenia,45,1.0,1,40.17765,44.5126,1002.0,Asia/Yerevan
Artsakh,Martuni,Azerbaijan,3,0.6,1,39.79496,47.1117,391.0,Asia/Baku
Artsakh,Stepanakert,Azerbaijan,2,0.4,2,39.9013,46.7871,591.0,Asia/Baku
Aruba,Oranjestad,Aruba,6,1.0,1,,,,
Australia,Sydney,Australia,10,0.3448,1,-33.86785,151.20732,58.0,Australia/Sydney
