team,status,confederation,member_from,member_to,reason
Abkhazia,unclassified,,,,not yet reviewed — dormant unless listed as active
Afghanistan,fifa,AFC,,,FIFA member via confederation_adj map
Albania,fifa,UEFA,,,FIFA member via confederation_adj map
Alderney,non_fifa,,,,not a FIFA member
Algeria,fifa,CAF,,,FIFA member via confederation_adj map
Ambazonia,unclassified,,,,not yet reviewed — dormant unless listed as active
American Samoa,fifa,OFC,1998-06-01,,FIFA member via confederation_adj map
Andalusia,unclassified,,,,not yet reviewed — dormant unless listed as active
Andorra,fifa,UEFA,1996-07-01,,FIFA member via confederation_adj map
Angola,fifa,CAF,,,FIFA member via confederation_adj map
Anguilla,fifa,CONCACAF,1996-07-01,,FIFA member; absent from confederation_adj map
Antigua and Barbuda,fifa,CONCACAF,,,FIFA member; absent from confederation_adj map
Arameans Suryoye,unclassified,,,,not yet reviewed — dormant unless listed as active
Argentina,fifa,CONMEBOL,,,FIFA member via confederation_adj map
Armenia,fifa,UEFA,1992-01-01,,FIFA member via confederation_adj map
Artsakh,unclassified,,,,not yet reviewed — dormant unless listed as active
Aruba,fifa,CONCACAF,,,FIFA member; absent from confederation_adj map
Asturias,unclassified,,,,not yet reviewed — dormant unless listed as active
Australia,fifa,AFC,,,transferred OFC -> AFC in 2006
Austria,fifa,UEFA,,,FIFA member via confederation_adj map
Aymara,unclassified,,,,not yet reviewed — dormant unless listed as active
Azerbaijan,fifa,UEFA,1994-01-01,,FIFA member via confederation_adj map
Bahamas,fifa,CONCACAF,,,FIFA member; absent from confederation_adj map
Bahrain,fifa,AFC,,,FIFA member via confederation_adj map
Bangladesh,fifa,AFC,,,FIFA member via confederation_adj map
Barawa,unclassified,,,,not yet reviewed — dormant unless listed as active
Barbados,fifa,CONCACAF,,,FIFA member via confederation_adj map
Basque Country,non_fifa,,,,sub-national side
Belarus,fifa,UEFA,1992-01-01,,FIFA member via confederation_adj map
Belgium,fifa,UEFA,,,FIFA member via confederation_adj map
Belize,fifa,CONCACAF,,,FIFA member via confederation_adj map
Benin,fifa,CAF,,,FIFA member via confederation_adj map
Bermuda,fifa,CONCACAF,,,FIFA member via confederation_adj map
Bhutan,fifa,AFC,2000-01-01,,FIFA member; absent from confederation_adj map
Biafra,unclassified,,,,not yet reviewed — dormant unless listed as active
Bolivia,fifa,CONMEBOL,,,FIFA member via confederation_adj map
Bonaire,non_fifa,CONCACAF,,,"CONCACAF associate, not a FIFA member"
Bosnia and Herzegovina,fifa,UEFA,1996-07-01,,FIFA member via confederation_adj map
Botswana,fifa,CAF,,,FIFA member via confederation_adj map
Brazil,fifa,CONMEBOL,,,FIFA member via confederation_adj map
British Virgin Islands,fifa,CONCACAF,,,FIFA member; absent from confederation_adj map
Brittany,unclassified,,,,not yet reviewed — dormant unless listed as active
Brunei,fifa,AFC,,,FIFA member; absent from confederation_adj map
Bulgaria,fifa,UEFA,,,FIFA member via confederation_adj map
