venue_id,name,city,country,country_code,latitude,longitude,timezone,tz_source,capacity
1406,11 June Stadium,Tripoli,Libya,,,,,,67000
1691,18 June Stadium,Klina,Kosovo,,42.617023,20.580882,Europe/Belgrade,coordinates,1000
1579,53acht-Arena,Edewecht,Germany,,,,Europe/Berlin,country,1500
1703,Aalborg Portland Park,Aalborg,Denmark,,,,Europe/Copenhagen,country,13800
1512,Abdullah bin Khalifa Stadium,Doha,Qatar,,,,,,12000
1482,ABFA Technical Centre,Piggotts,Antigua and Barbuda,,,,,,1000
1455,ABFA Technical Centre,Piggotts,Antigua and Barbuda,,,,,,1000
1152,Abovyan City Stadium,Abovyan,Armenia,,40.26841,44.635241,Asia/Yerevan,coordinates,3946
1638,Accor Stadium,Sydney,Australia,,,,Australia/Perth,country,83500
477,Addis Ababa Stadium,Addis Ababa,Ethiopia,,,,,,20000
1424,Adelaide Oval,Adelaide,Australia,,,,Australia/Perth,country,53584
1616,Adolf-Jäger-Kampfbahn,Altona,Germany,,,,Europe/Berlin,country,8000
1384,Agadir Stadium,Agadir,Morocco,,,,,,45480
1416,Ahmed bin Ali Stadium,Al Rayyan,Qatar,,,,,,40740
1753,AIL Arena,Lugano,Switzerland,,46.02315,8.96279,Europe/Zurich,coordinates,8800
535,Air Albania,Tirana,Albania,,,,Europe/Tirane,country,22500
1280,Aker Stadion,Molde,Norway,,62.733472,7.148052,Europe/Oslo,coordinates,11249
1686,Alashkert Stadium,Yerevan,Armenia,,40.154605,44.475231,Asia/Yerevan,coordinates,6800
1547,Al-Bashir Stadium,Mohammedia,Morocco,,,,,,15000
1516,Al Bayt Stadium,Al Khor,Qatar,,,,,,60000
1644,Alberto Braglia,Modena,Italy,,,,Europe/Rome,country,21092
375,A. Le Coq Arena,Tallinn,Estonia,,59.421292,24.73205,Europe/Tallinn,coordinates,14336
1772,Al-Ettifaq Club Stadium,Dammam,Saudi Arabia,,,,Asia/Riyadh,country,15000
1285,Alfheim,Tromso,Norway,,69.648954,18.934582,Europe/Oslo,coordinates,6687
1515,Al Janoub Stadium,Al Wakrah,Qatar,,,,,,
1506,Allegiant Stadium,Las Vegas,USA,,,,,,65000
1446,Allianz Stadium,Sydney,Australia,,,,Australia/Perth,country,45500
1588,Almaty Arena,Almaty,Kazakhstan,,,,,,
488,Al Merrikh Stadium,Omdurman,Sudan,,,,,,45000
1445,Al Nahyan Stadium,Abu Dhabi,United Arab Emirates,,,,,,15894
1427,Al-Rashid Stadium,Dubai,United Arab Emirates,,,,,,10000
1425,Al-Thumama Stadium,Al-Thumama,Qatar,,,,,,40000
1404,Amaan Stadium,Zanzibar,Tanzania,,,,,,15000
1387,Amadou Gon Coulibaly Stadium,Korhogo,Côte d'Ivoire,,,,,,20000
1393,Amahoro Stadium,Kigali,Rwanda,,,,,,45000
1573,Amateurstadion,Berlin,Germany,,,,Europe/Berlin,country,5400
441,Amman International Stadium,Amman,Jordan,,,,,,17619
1768,Antonio Candini,Rio Cuarto,Argentina,,,,,,12000
1464,A. O. Shirley Recreation Ground,Road Town,British Virgin Islands,,,,,,3000
1483,AO Shirley Recreation Ground,Road Town,British Virgin Islands,,,,,,3000
478,APTC Ground,Nairobi,Kenya,,,,,,
1287,Åråsen,Lillestrøm,Norway,,59.962752,11.063458,Europe/Oslo,coordinates,12250
382,Arena Egnatia,Rrogozhine,Albania,,,,Europe/Tirane,country,4300
1749,Arena Sepsi Osk,Sfantu Gheorghe,Romania,,,,Europe/Bucharest,country,8400
1480,Arnos Vale Ground,Kingstown,Saint Vincent and the Grenadines,,,,,,
473,Arthur Davies Stadium,Kitwe,Zambia,,,,,,12000
1496,Arvi arena,Marijampole,Lithuania,,,,Europe/Vilnius,country,6250
1348,Asim Ferhatović Hase,Sarajevo,Bosnia & Herzegovina,,,,Europe/Sarajevo,country,30121
1140,Astana Arena,Astana,Kazakhstan,,,,,,30000
1478,Ato Boldon Stadium,Couva,Trinidad and Tobago,,,,,,2400
1643,Auestadion,Kassel,Germany,,,,Europe/Berlin,country,18440
1687,Aukštaitija Stadium,Panevezys,Lithuania,,55.739167,24.359444,Europe/Vilnius,coordinates,6600
115,Azərsun Arena,Baku,Azerbaijan,,40.4212,49.9968,Asia/Baku,coordinates,4677
1376,Baba Yara Stadium,Kumasi,Ghana,,,,,,40528
1418,Bahrain National Stadium,Riffa,Bahrain,,,,,,30000
393,Bank Respublika Arena,Absheron,Azerbaijan,,40.486186,49.766262,Asia/Baku,coordinates,13000
1255,Baoan Stadium,Shenzhen,China,,22.558013,113.879489,Asia/Shanghai,coordinates,40000
1428,Bashundhara Kings Arena,Dhaka,Bangladesh,,,,,,14000
1417,Basra International Stadium,Basra,Iraq,,,,,,65227
1499,Batumi Arena,Batumi,Georgia,,32.051728,34.761439,Asia/Jerusalem,coordinates,20000
1315,BBVA Field,Birmingham,USA,,33.498009,-86.8124681,America/Chicago,coordinates,5000
1251,Beijing Workers' Stadium,Beijing,China,,39.929528,116.441139,Asia/Shanghai,coordinates,68000
1313,Beirne Stadium,Smithfield,USA,,41.9242,-71.5385,America/New_York,coordinates,4400
1776,Benfica Campus,Seixal,Portugal,,,,,,2644
490,Benina Martyrs Stadium,Benghazi,Libya,,,,,,11000
1462,Bermuda National Stadium,Hamilton,Bermuda,,,,,,8500
1518,BFA Technical Centre,Bridgetown,Barbados,,,,,,
1477,BFA Wildey Turf,Wildey,Barbados,,,,,,2000
710,Bilino Polje,Zenica,Bosnia & Herzegovina,,,,Europe/Sarajevo,country,15600
1382,Bingu National Stadium,Lilongwe,Malawi,,,,,,41100
1628,Bizerba Arena,Balingen,Germany,,48.282119,8.858341,Europe/Berlin,coordinates,10000
1314,Blackbaud Stadium,Charleston,USA,,32.870249,-79.919538,America/New_York,coordinates,5000
1295,Bolt Arena,Helsinki,Finland,,,,,,10770
1697,Bonifika Stadium,Koper,Slovenia,,45.542356,13.730453,Europe/Ljubljana,coordinates,4500
1562,Brandywell Stadium,Derry,Northern Ireland,,54.990578,-7.336035,Europe/London,coordinates,7700
1586,Bremer Brücke,Osnabruck,Germany,,,,Europe/Berlin,country,16667
1615,Brinje Stadium,Grosuplje,Slovenia,,,,Europe/Ljubljana,country,500
1279,Briskeby,Hamar,Norway,,60.795556,11.092222,Europe/Oslo,coordinates,8068
1440,Bukit Jalil National Stadium,Kuala Lumpur,Malaysia,,,,Asia/Kuala_Lumpur,country,87411
1713,Bursa Büyükşehir Stadyumu,Bursa,Türkiye,,,,Europe/Istanbul,country,43331
1738,Campo de Futbol Municipal de La Magdalena,Alicante,Spain,,,,,,5500
1554,Campo Sportivo di Fiorentino Federico Crescentini,Fiorentino,San Marino,,,,Europe/San_Marino,country,700
1268,Cangzhou Stadium,Cangzhou,China,,,,Asia/Shanghai,country,31836
1318,Cardinale Stadium,Monterey,USA,,36.64969,-121.806603,America/Los_Angeles,coordinates,6000
1584,Carl-Benz-Stadion,Mannheim,Germany,,,,Europe/Berlin,country,25721
1700,CASA Arena,Horsens,Denmark,,55.8716,9.85709,Europe/Copenhagen,coordinates,10400
1335,Cashman Field,Las Vegas,USA,,36.179371,-115.130379,America/Los_Angeles,coordinates,10000
1413,Cbus Super Stadium,Gold Coast,Australia,,,,Australia/Perth,country,27400
1149,Centenary Stadium,Marsa,Malta,,35.875458,14.493719,Europe/Malta,coordinates,3000
1669,Centenary Stadium,Ta' Qali,Malta,,35.896638,14.415425,Europe/Malta,coordinates,2500
1611,Centennial Stadium,Commerce City,USA,,39.5792,-104.8769,America/Denver,coordinates,5000
1604,Central Park,Denbigh,Wales,,,,Europe/London,country,2300
400,Central Stadium,Aktobe,Kazakhstan,,,,,,12729
124,Central Stadium,Almaty,Kazakhstan,,43.23838,76.924177,Asia/Almaty,coordinates,23804
1545,Central Stadium,Hisor,Tajikistan,,,,,,20000
1708,Centre d'entrainement Robert-Louis-Dreyfus,Marseille,France,,,,Europe/Paris,country,
1339,Centreville Bank Stadium,Pawtucket,USA,,41.869208,-71.383007,America/New_York,coordinates,10500
1712,Centro Sportivo Bortolotti,Zingonia,Italy,,,,Europe/Rome,country,1500
1714,Centro sportivo di Formello,Formello,Italy,,,,Europe/Rome,country,3000
1704,Ceres Arena,Aarhus,Denmark,,,,Europe/Copenhagen,country,5001
1702,Ceres Park,Aarhus,Denmark,,,,Europe/Copenhagen,country,20032
1319,Championship Soccer Stadium ,Irvine,USA,,33.6743899,-117.7404546,America/Los_Angeles,coordinates,5500
1266,Changchun Economic & Technological Development Zone Sports Center,Changchun,China,,,,Asia/Shanghai,country,38500
1261,Changchun Sports Center,Changchun,China,,,,Asia/Shanghai,country,38500
1257,Chengdu Phoenix Hill Football Stadium,Sichuan,China,,,,Asia/Shanghai,country,50695
1451,Chongqing Olympic Sports Center,Chongqing,China,,,,Asia/Shanghai,country,60500
1726,Cidade Deportiva Afouteza,Pontevedra,Spain,,,,,,
1709,Ciudad Deportiva Joan Gamper,Barcelona,Spain,,,,,,
1718,Ciutat Esportiva de Bunyol,Valencia,Spain,,,,,,
1282,Color Line Stadion,Aalesund,Norway,,62.469651,6.187295,Europe/Oslo,coordinates,10778
1345,Commonwealth Stadium,Edmonton,Canada,,53.559774,-113.476306,America/Edmonton,coordinates,60000
