placed_on,match_date,home,away,side,bet,odds,stake,status,pnl,bankroll_after
2026-06-11,2026-06-11,South Korea,Czech Republic,home,South Korea win,2.6,2.58,won,4.13,104.13
2026-06-11,2026-06-11,Mexico,South Africa,home,Mexico win (SkyBet boost),2.0,10.0,won,10.0,114.13
2026-06-11,2026-07-19,Argentina,—OUTRIGHT—,outright,Argentina to win World Cup,11.0,2.22,open,0.0,
2026-06-11,2026-07-19,Mexico,—OUTRIGHT—,outright,Mexico to win World Cup (EW win part),67.0,0.65,open,0.0,
2026-06-11,2026-07-19,Mexico,—OUTRIGHT—,outright,"Mexico top 2 (EW place part, 1/2 odds)",34.0,0.65,open,0.0,
2026-06-11,2026-06-11,Mexico,South Africa,over25,Over 2.5 goals,2.195,2.78,lost,-2.78,111.35
2026-06-12,2026-06-12,Canada,Bosnia and Herzegovina,home,Canada win,1.83,8.44,lost,-8.44,102.91
2026-06-12,2026-06-13,United States,Paraguay,away,Paraguay win,4.0,1.64,lost,-1.64,98.25
2026-06-13,2026-06-13,Australia,Turkey,home,Australia win,5.25,5.68,won,24.14,122.39
2026-06-13,2026-06-14,Netherlands,Japan,away,Japan win,3.8,3.53,lost,-3.53,122.73
2026-06-13,2026-06-14,Ivory Coast,Ecuador,away,Ecuador win,2.42,3.3,lost,-3.3,119.43
2026-06-13,2026-06-13,Haiti,Scotland,under25,Under 2.5 goals,2.27,3.05,won,3.87,126.26
2026-06-13,2026-06-15,Matt Fitzpatrick,RBC Canadian Open,back,win outright,47.55,1.02,open,0.0,101.89
2026-06-13,2026-06-15,Brooks Koepka,RBC Canadian Open,back,win outright,14.3,1.0,open,0.0,100.89
2026-06-13,2026-06-15,Robert MacIntyre,RBC Canadian Open,back,win outright,41.85,1.0,open,0.0,99.89
2026-06-14,2026-06-15,Spain,Cape Verde,home,Spain win,1.09,1.04,lost,-1.04,117.36
2026-06-14,2026-06-14,Germany,Curaçao,home,Germany win,1.04,0.98,won,0.04,119.47
2026-06-14,2026-06-14,Ivory Coast,Ecuador,under25,Under 2.5 goals,1.41,0.81,won,0.33,119.8
2026-06-14,2026-06-15,Saudi Arabia,Uruguay,under25,Under 2.5 goals,1.8,2.71,won,2.17,119.53
2026-06-14,2026-06-15,Belgium,Egypt,under25,Under 2.5 goals,1.87,3.04,won,2.64,122.17
2026-06-14,2026-06-14,Sweden,Tunisia,under25,Under 2.5 goals,1.7,0.73,lost,-0.73,119.07
2026-06-14,2026-06-15,Iran,New Zealand,under25,Under 2.5 goals,1.58,0.67,lost,-0.67,121.5
2026-06-14,2026-06-14,Netherlands,Japan,under25,Under 2.5 goals,1.85,0.67,lost,-0.67,118.4
2026-06-14,2026-06-15,Iran,New Zealand,home,Iran win,1.83,0.86,lost,-0.86,120.64
2026-06-14,2026-06-16,France,Senegal,under25,Under 2.5 goals,1.91,2.55,lost,-2.55,118.09
2026-06-14,2026-06-16,Iraq,Norway,under25,Under 2.5 goals,2.4,7.7,lost,-7.7,110.39
2026-06-14,2026-06-16,Austria,Jordan,under25,Under 2.5 goals,2.2,5.08,lost,-5.08,105.31
