event_id,date,home,away,odds_home,odds_draw,odds_away,odds_over25,odds_under25,odds_btts_yes,odds_btts_no,bookmaker_count,market_dispersion_h,market_dispersion_d,market_dispersion_a
2026-06-27|algeria|austria|fifa-world-cup,2026-06-27,Algeria,Austria,4.2,2.15,3.0,3.2,1.36,,,25,0.015261278998519898,0.013144413029783586,0.008830263841979777
2026-06-27|colombia|portugal|fifa-world-cup,2026-06-27,Colombia,Portugal,3.53,3.9,2.0,1.8050000000000002,2.02,,,25,0.004142197869844274,0.0038413776070153906,0.005803872481986469
2026-06-27|croatia|ghana|fifa-world-cup,2026-06-27,Croatia,Ghana,1.91,3.15,5.0,2.335,1.6,,,25,0.010440381414732143,0.004698990860197325,0.011103089099948737
2026-06-27|dr-congo|uzbekistan|fifa-world-cup,2026-06-27,DR Congo,Uzbekistan,1.6,4.25,5.6,2.085,1.77,,,23,0.006983279815038573,0.004921106009318259,0.005480475456522361
2026-06-27|jordan|argentina|fifa-world-cup,2026-06-27,Jordan,Argentina,18.25,8.5,1.15,1.52,2.6,,,25,0.005939241461321594,0.006855699174420916,0.009692431819459604
2026-06-27|panama|england|fifa-world-cup,2026-06-27,Panama,England,16.0,8.5,1.16,1.4249999999999998,2.88,,,25,0.006907371811913016,0.009771399270213501,0.013444052352621472
2026-06-28|south-africa|canada|fifa-world-cup,2026-06-28,South Africa,Canada,5.5,3.65,1.7,2.25,1.65,,,25,0.005141706358246673,0.0052418251526699915,0.008286565025792343
2026-06-29|brazil|japan|fifa-world-cup,2026-06-29,Brazil,Japan,1.705,3.8,5.15,2.05,1.8,,,24,0.008593757156394249,0.005888095469754635,0.0062911596812313805
2026-06-29|germany|paraguay|fifa-world-cup,2026-06-29,Germany,Paraguay,1.38,5.0,8.5,1.73,2.09,,,24,0.011709148792642867,0.006102156497192164,0.008766097863462318
2026-06-29|netherlands|morocco|fifa-world-cup,2026-06-29,Netherlands,Morocco,2.15,3.25,3.67,2.2350000000000003,1.67,,,24,0.0041700282571511755,0.0084429660632239,0.00608982941456121
2026-06-30|france|sweden|fifa-world-cup,2026-06-30,France,Sweden,1.2850000000000001,5.824999999999999,10.585,1.62,2.26,,,24,0.011923773710595865,0.008960523859358631,0.006465572340436528
2026-06-30|ivory-coast|norway|fifa-world-cup,2026-06-30,Ivory Coast,Norway,3.8600000000000003,3.6,1.97,1.92,1.9,,,24,0.006609747940868816,0.004437253677616846,0.007231679730011979
2026-07-01|united-states|bosnia-and-herzegovina|fifa-world-cup,2026-07-01,United States,Bosnia and Herzegovina,1.38,4.94,9.0,1.85,1.95,,,25,0.010525149893544156,0.006114588905592686,0.007213792454363917
2026-07-03|argentina|cape-verde|fifa-world-cup,2026-07-03,Argentina,Cape Verde,1.16,7.715,18.0,1.585,2.34,,,24,0.010221337612366002,0.008563801217065516,0.0066176564255490625
2026-07-03|australia|egypt|fifa-world-cup,2026-07-03,Australia,Egypt,3.3,3.0,2.45,2.65,1.49,,,23,0.004581724362021932,0.004480054568111769,0.004394761777377049
