team,pos,player,source
Algeria,GK,MASTIL Melvin Melvin Feycal MASTIL MASTIL,fifa
Algeria,DF,MANDI Aissa Aissa MANDI MANDI,fifa
Algeria,DF,ABADA Achref Achref ABADA ABADA,fifa
Algeria,DF,TOUGAI Mohamed Amine Mohamed Amine TOUGAI TOUGAI,fifa
Algeria,DF,BELAID Zineddine Zineddine BELAÏD BELAID,fifa
Algeria,MF,ZERROUKI Ramiz Ramiz Larbi ZERROUKI ZERROUKI,fifa
Algeria,FW,MAHREZ Riyad Riyad Karim MAHREZ MAHREZ,fifa
Algeria,MF,AOUAR Houssem Houssem-Eddine Chaabane AOUAR AOUAR,fifa
Algeria,FW,GOUIRI Amine Amine Ferid GHOUIRI GOUIRI,fifa
Algeria,MF,CHAIBI Fares Fares CHAIBI CHAIBI,fifa
Algeria,FW,HADJ MOUSSA Anis Anis HADJ MOUSSA HADJ MOUSSA,fifa
Algeria,FW,BENBOUALI Nadhir Ahmed Nadhir BENBOUALI BENBOUALI,fifa
Algeria,DF,HADJAM Jaouen Jaouen Djimmy HADJAM HADJAM,fifa
Algeria,MF,BOUDAOUI Hicham Hicham BOUDAOUI BOUDAOUI,fifa
Algeria,DF,AIT-NOURI Rayan Rayan AÏT-NOURI AIT NOURI,fifa
Algeria,GK,BENBOT Oussama Oussama BENBOT BENBOT,fifa
Algeria,DF,BELGHALI Rak Rak BELGHALI BELGHALI,fifa
Algeria,FW,AMOURA Mohamed Mohammed Elamine AMOURA AMOURA,fifa
Algeria,MF,BENTALEB Nabil Nabil BENTALEB BENTALEB,fifa
Algeria,FW,BOULBINA Adil Adil BOULBINA BOULBINA,fifa
Algeria,DF,BENSEBAINI Ramy Amir Selmane Rami BENSEBAINI BENSEBAINI,fifa
Algeria,MF,MAZA Ibrahim Ibrahim MAZA MAZA,fifa
Algeria,GK,ZIDANE Luca Luca Zinedine ZIDANE ZIDANE,fifa
Algeria,MF,TITRAOUI Yassine Yassine M E G TITRAOUI TITRAOUI,fifa
Algeria,FW,GHEDJEMIS Fares Fares GHEDJEMIS GHEDJEMIS,fifa
Algeria,DF,CHERGUI Samir Samir Sophian CHERGUI CHERGUI,fifa
Argentina,GK,MUSSO Juan Juan Agustín MUSSO MUSSO,fifa
Argentina,DF,Marcos Senesi,manual
Argentina,DF,TAGLIAFICO Nicolas Nicolás Alejandro TAGLIAFICO TAGLIAFICO,fifa
Argentina,DF,MONTIEL Gonzalo Gonzalo Ariel MONTIEL MONTIEL,fifa
Argentina,MF,PAREDES Leandro Leandro Daniel PAREDES PAREDES,fifa
Argentina,DF,MARTINEZ Lisandro Lisandro MARTÍNEZ MARTÍNEZ,fifa
Argentina,MF,DE PAUL Rodrigo Rodrigo Javier DE PAUL DE PAUL,fifa
Argentina,MF,BARCO Valentin Valentin BARCO BARCO,fifa
Argentina,FW,ALVAREZ Julian Julián ÁLVAREZ J. ALVAREZ,fifa
Argentina,FW,MESSI Lionel Lionel Andrés MESSI MESSI,fifa
Argentina,MF,LO CELSO Giovani Giovani LO CELSO LO CELSO,fifa
Argentina,GK,RULLI Geronimo Geronimo RULLI RULLI,fifa
Argentina,DF,ROMERO Cristian Cristian Gabriel ROMERO ROMERO,fifa
Argentina,MF,PALACIOS Exequiel Exequiel Alejandro PALACIOS PALACIOS,fifa
Argentina,MF,GONZALEZ Nico Nicolas Ivan GONZALEZ N. GONZALEZ,fifa
Argentina,FW,ALMADA Thiago Thiago Ezequiel ALMADA ALMADA,fifa
Argentina,FW,SIMEONE Giuliano Giuliano SIMEONE SIMEONE,fifa
Argentina,FW,PAZ Nico Nicolas PAZ MARTÍNEZ NICO PAZ,fifa
Argentina,DF,OTAMENDI Nicolas Nicolas Hernan Gonzalo OTAMENDI OTAMENDI,fifa
Argentina,MF,MAC ALLISTER Alexis Alexis MAC ALLISTER MAC ALLISTER,fifa
Argentina,FW,LOPEZ Jose Manuel Jose Manuel Alberto LOPEZ LOPEZ,fifa
Argentina,FW,MARTINEZ Lautaro Lautaro Javier MARTÍNEZ L. MARTINEZ,fifa
Argentina,GK,MARTINEZ Emiliano Damián Emiliano MARTÍNEZ E. MARTINEZ,fifa
Argentina,MF,FERNANDEZ Enzo Enzo Jeremías FERNÁNDEZ E. FERNANDEZ,fifa
Argentina,DF,MEDINA Facundo Facundo Axel MEDINA MEDINA,fifa
