date,home,away,odds_home,odds_draw,odds_away,result90
2018-06-14,Russia,Saudi Arabia,1/2,17/5,17/2,home
2018-06-15,Egypt,Uruguay,8/1,16/5,51/100,away
2018-06-15,Morocco,Iran,5/4,2/1,13/4,away
2018-06-15,Portugal,Spain,7/2,23/10,21/20,draw
2018-06-16,France,Australia,29/100,13/2,11/1,home
2018-06-16,Argentina,Iceland,7/20,9/2,11/1,draw
2018-06-16,Peru,Denmark,14/5,11/5,69/50,away
2018-06-16,Croatia,Nigeria,7/10,14/5,11/2,home
2018-06-17,Costa Rica,Serbia,9/2,49/20,83/100,away
2018-06-17,Germany,Mexico,1/2,18/5,29/4,away
2018-06-17,Brazil,Switzerland,1/2,69/20,8/1,draw
2018-06-18,Sweden,South Korea,5/4,21/10,3/1,home
2018-06-18,Belgium,Panama,11/50,6/1,20/1,home
2018-06-18,Tunisia,England,17/2,333/100,1/2,away
2018-06-19,Russia,Egypt,19/20,13/5,7/2,home
2018-06-19,Colombia,Japan,9/10,12/5,17/4,away
2018-06-19,Poland,Senegal,77/50,21/10,5/2,away
2018-06-20,Portugal,Morocco,73/100,11/4,11/2,home
2018-06-20,Uruguay,Saudi Arabia,1/4,6/1,19/1,home
2018-06-20,Iran,Spain,22/1,6/1,11/50,away
2018-06-21,Denmark,Australia,19/20,5/2,19/5,draw
2018-06-21,France,Peru,63/100,29/10,6/1,home
2018-06-21,Argentina,Croatia,11/10,23/10,16/5,away
2018-06-22,Brazil,Costa Rica,11/50,23/4,81/4,home
2018-06-22,Nigeria,Iceland,2/1,11/5,7/4,home
2018-06-22,Serbia,Switzerland,9/5,21/10,2/1,away
2018-06-23,Germany,Sweden,1/2,19/5,7/1,home
2018-06-23,Belgium,Tunisia,33/100,17/4,11/1,home
2018-06-23,South Korea,Mexico,19/4,3/1,3/4,away
2018-06-24,Japan,Senegal,11/5,39/20,17/10,draw
2018-06-24,Poland,Colombia,13/5,13/5,6/5,away
2018-06-24,England,Panama,11/50,11/2,18/1,home
2018-06-25,Russia,Uruguay,2/1,21/10,9/5,away
2018-06-25,Saudi Arabia,Egypt,22/5,27/10,4/5,home
2018-06-25,Spain,Morocco,9/25,17/4,19/2,draw
2018-06-25,Iran,Portugal,53/10,16/5,67/100,draw
2018-06-26,Australia,Peru,2/1,13/5,3/2,away
2018-06-26,Denmark,France,19/4,9/5,11/10,draw
2018-06-26,Nigeria,Argentina,5/1,22/5,1/2,away
2018-06-26,Iceland,Croatia,17/5,3/1,91/100,away
2018-06-27,South Korea,Germany,75/4,15/2,9/50,home
2018-06-27,Mexico,Sweden,5/4,49/20,13/5,away
2018-06-27,Serbia,Brazil,27/4,15/4,1/2,away
2018-06-27,Switzerland,Costa Rica,31/50,14/5,7/1,draw
2018-06-28,England,Belgium,3/2,47/25,29/10,away
2018-06-28,Panama,Tunisia,7/2,14/5,91/100,away
2018-06-28,Japan,Poland,21/10,11/5,17/10,away
2018-06-28,Senegal,Colombia,17/4,3/1,4/5,away
2018-06-30,France,Argentina,29/20,11/5,5/2,home
2018-06-30,Uruguay,Portugal,21/10,2/1,7/4,home
2018-07-01,Russia,Spain,6/1,16/5,3/5,draw
2018-07-01,Croatia,Denmark,1/1,23/10,19/5,draw
2018-07-02,Brazil,Mexico,1/2,18/5,7/1,home
2018-07-02,Belgium,Japan,9/20,19/5,17/2,home
2018-07-03,Sweden,Switzerland,49/20,2/1,8/5,home
2018-07-03,Colombia,England,16/5,43/20,6/5,draw
2018-07-06,Uruguay,France,39/10,11/5,21/20,away
2018-07-06,Brazil,Belgium,23/20,5/2,14/5,away
2018-07-07,Sweden,England,17/4,12/5,9/10,away
2018-07-07,Russia,Croatia,16/5,9/4,23/20,draw
2018-07-10,France,Belgium,163/100,11/5,21/10,home
2018-07-11,Croatia,England,29/10,21/10,13/10,draw
2018-07-14,Belgium,England,5/4,29/10,9/4,home
2018-07-15,France,Croatia,23/20,11/5,333/100,home
