course,sg_ott,sg_app,sg_arg,sg_putt,distance,accuracy,wind_exposure
Augusta National Golf Club,0.30,0.85,0.20,0.35,0.25,-0.05,0.10
Oakmont Country Club,0.25,0.75,0.45,0.15,0.15,0.35,0.10
Pebble Beach Golf Links,0.05,0.50,0.40,0.25,-0.05,0.20,0.65
Royal Portrush Golf Club,0.10,0.55,0.35,0.10,0.00,0.25,0.90
Royal Liverpool Golf Club,0.15,0.55,0.25,0.05,0.05,0.20,0.90
Royal Troon Golf Club,0.05,0.50,0.35,0.05,-0.05,0.30,0.95
St Andrews Links,0.05,0.45,0.20,0.10,-0.05,0.15,0.85
Shinnecock Hills Golf Club,0.15,0.70,0.35,0.15,0.05,0.30,0.65
Pinehurst Resort & Country Club,0.05,0.65,0.60,0.10,-0.05,0.35,0.40
Quail Hollow Club,0.45,0.65,0.10,0.05,0.40,0.00,0.15
