course,aliases,latitude,longitude,timezone
TPC River Highlands,Travelers Championship;Travelers;Cromwell,41.6320,-72.6390,America/New_York
TPC Deere Run,John Deere Classic;Deere Run;Silvis,41.4793,-90.3920,America/Chicago
Augusta National Golf Club,Masters Tournament;The Masters;Augusta National,33.5021,-82.0229,America/New_York
Oakmont Country Club,U.S. Open;US Open;Oakmont,40.5269,-79.8270,America/New_York
Quail Hollow Club,PGA Championship;Quail Hollow,35.1169,-80.8429,America/New_York
Royal Portrush Golf Club,The Open Championship;Open Championship;Royal Portrush,55.2030,-6.6350,Europe/London
Pebble Beach Golf Links,Pebble Beach;AT&T Pebble Beach Pro-Am,36.5680,-121.9506,America/Los_Angeles
Pinehurst Resort & Country Club,Pinehurst No. 2;Pinehurst Resort;Pinehurst,35.1950,-79.4695,America/New_York
Shinnecock Hills Golf Club,Shinnecock Hills,40.8940,-72.4408,America/New_York
Royal Liverpool Golf Club,Royal Liverpool;Hoylake,53.3863,-3.1879,Europe/London
Royal Troon Golf Club,Royal Troon,55.5324,-4.6554,Europe/London
St Andrews Links,Old Course;The Old Course;St Andrews,56.3432,-2.8035,Europe/London
