name,world_rank,status,event,course,tee_time_r1,tee_time_r2,start_hole_r1,start_hole_r2,course_sigma,odds_win,odds_top5,odds_top10,odds_top20,odds_cut
A.J. Ewart,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Aaron Wise,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Adam Hadwin,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Adam Schenk,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Adam Svensson,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Adrien Dumont de Chassart,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Aldrich Potgieter,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Alejandro Tosti,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Andrew Novak,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Andrew Putnam,,active,John Deere Classic,John Deere Classic,,,10,,,,,,,
Augusto Núñez,,active,John Deere Classic,John Deere Classic,,,10,1,,,,,,
Austin Cook,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Austin Eckroat,,active,John Deere Classic,John Deere Classic,,,,10,,,,,,
Austin Smotherman,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Beau Hossler,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Ben Griffin,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Ben Kohles,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Ben Martin,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Ben Silverman,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Blades Brown,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Brendon Todd,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Brian Campbell,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Brice Garnett,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Cameron Champ,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Camilo Villegas,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Carson Young,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Chad Ramey,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Chan Kim,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Chandler Blanchet,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Chandler Phillips,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Chris Gotterup,,active,John Deere Classic,John Deere Classic,,,,1,,,,,,
Christiaan Bezuidenhout,,active,John Deere Classic,John Deere Classic,,,,,,,,,,
Christo Lamprecht,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Daniel Berger,,active,John Deere Classic,John Deere Classic,,,1,1,,,,,,
Danny Walker,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
Darin Fisher,,active,John Deere Classic,John Deere Classic,,,1,,,,,,,
