name,odds_win,odds_top5,odds_top10,odds_top20,odds_cut,odds_nocut
Jackson Suber,4.5,,,,,
Bud Cauley,9.0,,,,,
Tommy Fleetwood,13.0,,,,,
Wyndham Clark,23.0,,,,,
Brice Garnett,26.0,,,,,
Jesper Svensson,26.0,,,,,
Ryan Fox,22.0,,,,,
Sam Burns,16.0,,,,,
Billy Horschel,34.0,,,,,
Sudarshan Yellamaraju,67.0,,,,,
Jimmy Stanger,67.0,,,,,
Viktor Hovland,21.0,,,,,
David Skinns,67.0,,,,,
Matt Fitzpatrick,16.0,,,,,
Jacob Bridgeman,34.0,,,,,
Robert MacIntyre,41.0,,,,,
Shane Lowry,26.0,,,,,
Sahith Theegala,34.0,,,,,
Luke Clanton,67.0,,,,,
Max Homa,51.0,,,,,
William Mouw,101.0,,,,,
Collin Morikawa,34.0,,,,,
Ben James,67.0,,,,,
Keith Mitchell,67.0,,,,,
Brooks Koepka,101.0,,,,,
