season,stat_id,stat_name,player_name,rank,value,raw_json,source
,02675,sg_total,Scottie Scheffler,1,2.162,"{""Avg"": 2.162, ""Measured Rounds"": 42.0, ""Total SG:P"": 19.575, ""Total SG:T"": 90.824, ""Total SG:T2G"": 71.248, ""rankDiff"": 0.0}",pgatour
,02675,sg_total,Wyndham Clark,1,1.0,"{""groupNumber"": 36.0, ""leaderboardSortOrder"": 0.0, ""position"": 1.0, ""roundScore"": 3.0, ""thru"": 8.0, ""totalScore"": -4.0}",pgatour
,02675,sg_total,Ludvig Åberg,2,1.486,"{""Avg"": 1.486, ""Measured Rounds"": 41.0, ""Total SG:P"": 10.693, ""Total SG:T"": 60.913, ""Total SG:T2G"": 50.218, ""rankDiff"": 1.0}",pgatour
,02675,sg_total,Sam Burns,2,2.0,"{""groupNumber"": 33.0, ""leaderboardSortOrder"": 1.0, ""position"": 2.0, ""roundScore"": -3.0, ""thru"": 12.0, ""totalScore"": -3.0}",pgatour
,02675,sg_total,Matt Fitzpatrick,3,1.472,"{""Avg"": 1.472, ""Measured Rounds"": 46.0, ""Total SG:P"": -4.537, ""Total SG:T"": 67.732, ""Total SG:T2G"": 72.268, ""rankDiff"": 4.0}",pgatour
,02675,sg_total,Jake Knapp,4,1.456,"{""Avg"": 1.456, ""Measured Rounds"": 29.0, ""Total SG:P"": 21.579, ""Total SG:T"": 42.214, ""Total SG:T2G"": 20.634, ""rankDiff"": 0.0}",pgatour
,02675,sg_total,Si Woo Kim,5,1.403,"{""Avg"": 1.403, ""Measured Rounds"": 57.0, ""Total SG:P"": -5.578, ""Total SG:T"": 79.986, ""Total SG:T2G"": 85.562, ""rankDiff"": 0.0}",pgatour
,02675,sg_total,Cameron Young,6,1.377,"{""Avg"": 1.377, ""Measured Rounds"": 43.0, ""Total SG:P"": 5.158, ""Total SG:T"": 59.197, ""Total SG:T2G"": 54.036, ""rankDiff"": 0.0}",pgatour
,02675,sg_total,Tommy Fleetwood,7,1.339,"{""Avg"": 1.339, ""Measured Rounds"": 42.0, ""Total SG:P"": 3.333, ""Total SG:T"": 56.224, ""Total SG:T2G"": 52.891, ""rankDiff"": 1.0}",pgatour
,02675,sg_total,Xander Schauffele,8,1.138,"{""Avg"": 1.138, ""Measured Rounds"": 41.0, ""Total SG:P"": 9.025, ""Total SG:T"": 46.642, ""Total SG:T2G"": 37.615, ""rankDiff"": 1.0}",pgatour
,02675,sg_total,Chris Gotterup,9,1.137,"{""Avg"": 1.137, ""Measured Rounds"": 49.0, ""Total SG:P"": 15.172, ""Total SG:T"": 55.69, ""Total SG:T2G"": 40.516, ""rankDiff"": 1.0}",pgatour
,02675,sg_total,Min Woo Lee,10,1.13,"{""Avg"": 1.13, ""Measured Rounds"": 44.0, ""Total SG:P"": 6.345, ""Total SG:T"": 49.736, ""Total SG:T2G"": 43.39, ""rankDiff"": 2.0}",pgatour
,02675,sg_total,Collin Morikawa,11,1.077,"{""Avg"": 1.077, ""Measured Rounds"": 34.0, ""Total SG:P"": -6.087, ""Total SG:T"": 36.601, ""Total SG:T2G"": 42.686, ""rankDiff"": 2.0}",pgatour
,02675,sg_total,Russell Henley,12,1.05,"{""Avg"": 1.05, ""Measured Rounds"": 40.0, ""Total SG:P"": 13.747, ""Total SG:T"": 41.993, ""Total SG:T2G"": 28.245, ""rankDiff"": 2.0}",pgatour
,02675,sg_total,Jacob Bridgeman,13,1.026,"{""Avg"": 1.026, ""Measured Rounds"": 52.0, ""Total SG:P"": 37.914, ""Total SG:T"": 53.36, ""Total SG:T2G"": 15.446, ""rankDiff"": 4.0}",pgatour
,02675,sg_total,Patrick Cantlay,14,1.021,"{""Avg"": 1.021, ""Measured Rounds"": 37.0, ""Total SG:P"": -1.831, ""Total SG:T"": 37.781, ""Total SG:T2G"": 39.609, ""rankDiff"": 1.0}",pgatour
