name,dg_id,sg_total,sg_ott,sg_app,sg_atg,sg_putt,driving_dist,driving_acc,datagolf_skill,owgr,country
Scottie Scheffler,,2.98,0.81,1.12,0.38,0.67,,,3.10,1,USA
Rory McIlroy,,2.51,0.94,0.88,0.22,0.47,,,2.60,2,NIR
Xander Schauffele,,1.82,0.43,0.88,0.18,0.33,,,1.90,3,USA
Collin Morikawa,,1.67,0.22,1.12,0.09,0.24,,,1.75,4,USA
Ludvig Aberg,,1.59,0.71,0.68,0.11,0.09,,,1.65,5,SWE
Bryson DeChambeau,,1.44,1.03,0.47,0.08,-0.14,,,1.50,6,USA
Brooks Koepka,,1.31,0.52,0.61,0.07,0.11,,,1.38,7,USA
Jon Rahm,,1.28,0.46,0.60,0.13,0.09,,,1.35,8,ESP
Viktor Hovland,,1.22,0.58,0.51,0.04,0.09,,,1.30,9,NOR
Tommy Fleetwood,,1.18,0.27,0.68,0.11,0.12,,,1.25,10,ENG
Shane Lowry,,1.05,0.18,0.56,0.14,0.17,,,1.10,15,IRL
Patrick Cantlay,,0.98,0.21,0.52,0.09,0.16,,,1.05,16,USA
Tony Finau,,0.94,0.55,0.28,0.04,0.07,,,1.00,18,USA
Russell Henley,,0.91,0.15,0.48,0.12,0.16,,,0.98,20,USA
Justin Thomas,,0.88,0.32,0.41,0.08,0.07,,,0.95,22,USA
Matt Fitzpatrick,,0.85,0.09,0.55,0.11,0.10,,,0.92,24,ENG
Max Homa,,0.82,0.27,0.38,0.08,0.09,,,0.88,26,USA
Tyrrell Hatton,,0.79,0.21,0.42,0.08,0.08,,,0.85,28,ENG
Adam Scott,,0.72,0.28,0.31,0.07,0.06,,,0.78,32,AUS
Hideki Matsuyama,,0.71,0.28,0.30,0.07,0.06,,,0.77,33,JPN
Keegan Bradley,,0.68,0.31,0.24,0.07,0.06,,,0.74,35,USA
Brian Harman,,0.65,0.03,0.35,0.10,0.17,,,0.72,37,USA
Jason Day,,0.63,0.22,0.28,0.06,0.07,,,0.70,39,AUS
Sahith Theegala,,0.61,0.38,0.19,0.06,-0.02,,,0.68,41,USA
Min Woo Lee,,0.58,0.35,0.18,0.03,0.02,,,0.65,44,AUS
Corey Conners,,0.56,0.24,0.23,0.04,0.05,,,0.63,46,CAN
Cameron Young,,0.55,0.53,0.08,0.03,-0.09,,,0.62,47,USA
Tom Kim,,0.52,0.18,0.24,0.05,0.05,,,0.59,50,KOR
Sungjae Im,,0.50,0.14,0.22,0.05,0.09,,,0.57,52,KOR
Nicolai Hojgaard,,0.49,0.25,0.16,0.04,0.04,,,0.56,54,DEN
Matt Fitzpatrick,,1.70,0.09,1.12,0.11,0.38,,,1.75,4,ENG
Justin Rose,,1.42,0.28,0.82,0.08,0.24,,,1.48,6,ENG
Aaron Rai,,1.28,0.15,0.72,0.18,0.23,,,1.35,13,ENG
Robert MacIntyre,,1.15,0.42,0.52,0.10,0.11,,,1.22,17,SCO
Alex Noren,,0.85,0.12,0.45,0.10,0.18,,,0.90,21,SWE
Jacob Bridgeman,,0.90,0.25,0.42,0.12,0.11,,,0.95,24,USA
Kristoffer Reitan,,0.82,0.28,0.35,0.08,0.11,,,0.87,25,NOR
Sam Burns,,0.75,0.22,0.38,0.08,0.07,,,0.80,34,USA
Wyndham Clark,,0.72,0.55,0.18,0.02,-0.03,,,0.77,45,USA
Ryan Fox,,0.55,0.32,0.21,-0.02,0.04,,,0.60,57,NZL
Nick Taylor,,0.38,0.18,0.16,0.02,0.02,,,0.42,65,CAN
Ben James,,0.15,0.08,0.07,0.02,-0.02,,,0.18,120,ENG
Keith Mitchell,,0.68,0.42,0.22,0.03,0.01,,,0.72,72,USA
Jackson Suber,,0.42,0.22,0.18,0.04,-0.02,,,0.45,110,USA
Bud Cauley,,0.40,0.18,0.16,0.03,0.03,,,0.43,95,USA
Harry Hall,,0.48,0.24,0.19,0.04,0.01,,,0.52,80,ENG
Erik van Rooyen,,0.52,0.28,0.22,0.02,0.00,,,0.55,75,RSA
Billy Horschel,,0.58,0.15,0.32,0.06,0.05,,,0.62,58,USA
Taylor Pendrith,,0.45,0.35,0.12,0.02,-0.04,,,0.48,68,CAN
Davis Riley,,0.38,0.21,0.14,0.02,0.01,,,0.42,88,USA
Mackenzie Hughes,,0.32,0.14,0.12,0.03,0.03,,,0.35,95,CAN
Adam Hadwin,,0.30,0.12,0.12,0.02,0.04,,,0.33,105,CAN
Aldrich Potgieter,,0.62,0.48,0.16,0.02,-0.04,,,0.65,82,RSA
Emiliano Grillo,,0.35,0.18,0.14,0.02,0.01,,,0.38,90,ARG
J.T. Poston,,0.42,0.08,0.22,0.06,0.06,,,0.45,85,USA
Seamus Power,,0.35,0.12,0.16,0.04,0.03,,,0.38,92,IRL
Sam Ryder,,0.28,0.10,0.12,0.03,0.03,,,0.30,115,USA
Cam Davis,,0.38,0.22,0.14,0.02,0.00,,,0.40,88,AUS
Luke Clanton,,0.35,0.18,0.12,0.03,0.02,,,0.38,98,USA
Max Greyserman,,0.32,0.12,0.14,0.03,0.03,,,0.35,100,USA
Doug Ghim,,0.28,0.10,0.12,0.04,0.02,,,0.30,118,USA
Stephan Jaeger,,0.32,0.15,0.12,0.03,0.02,,,0.35,112,GER
Nick Dunlap,,0.55,0.28,0.22,0.04,0.01,,,0.58,78,USA
Christiaan Bezuidenhout,,0.40,0.18,0.16,0.03,0.03,,,0.43,87,RSA
Davis Thompson,,0.35,0.16,0.14,0.02,0.03,,,0.38,99,USA
Karl Vilips,,0.38,0.22,0.12,0.03,0.01,,,0.40,105,AUS
Denny McCarthy,,0.32,0.04,0.18,0.05,0.05,,,0.35,108,USA
Tom Hoge,,0.35,0.14,0.16,0.04,0.01,,,0.38,102,USA
Lucas Glover,,0.38,0.06,0.20,0.06,0.06,,,0.40,96,USA
Joel Dahmen,,0.25,0.08,0.10,0.03,0.04,,,0.28,130,USA
Jesper Svensson,,0.30,0.14,0.12,0.02,0.02,,,0.32,196,SWE
Brice Garnett,,0.22,0.08,0.10,0.02,0.02,,,0.24,368,USA
Sudarshan Yellamaraju,,0.18,0.08,0.08,0.02,0.00,,,0.20,300,USA
David Skinns,,0.28,0.12,0.12,0.02,0.02,,,0.30,200,ENG
Jimmy Stanger,,0.20,0.10,0.08,0.01,0.01,,,0.22,280,USA
William Mouw,,0.20,0.08,0.08,0.02,0.02,,,0.22,250,USA
Taylor Moore,,0.35,0.16,0.14,0.02,0.03,,,0.38,140,USA
Alejandro Tosti,,0.38,0.20,0.14,0.02,0.02,,,0.40,120,ARG
