round,group_id,player,resolved,n_rounds,book,odds,p_best,p_dead_heat_equiv,p_market,ev_pct,kelly_stake,thin_sample,settlement_rule
1,3ball-r1:Poston / Cantlay / Horschel,J.T. POSTON,J.T. Poston,406,manual,2.88,0.6432,0.5877,0.3185,69.25,9.21,False,dead_heat
1,3ball-r1:Fleetwood / McIlroy / Åberg,TOMMY FLEETWOOD,Tommy Fleetwood,318,manual,2.88,0.5498,0.4926,0.3186,41.86,5.57,False,dead_heat
1,3ball-r1:To. Kim / A. Fitzpatrick / James,TOM KIM,Tom Kim,356,manual,3.0,0.4923,0.4401,0.3141,32.04,4.01,False,dead_heat
1,3ball-r1:Rai / Morikawa / Day,AARON RAI,Aaron Rai,379,manual,2.75,0.5332,0.4776,0.34,31.35,4.48,False,dead_heat
1,3ball-r1:McDowell / Rodgers / Mitchell,KEITH MITCHELL,Keith Mitchell,389,manual,2.1,0.6517,0.5998,0.4368,25.97,5.9,False,dead_heat
1,3ball-r1:Schaper / Suber / Fang,JACKSON SUBER,Jackson Suber,131,manual,2.5,0.5259,0.4772,0.3613,19.29,3.22,False,dead_heat
1,3ball-r1:Schaper / Suber / Fang,ETHAN FANG,Ethan Fang,6,manual,4.33,0.3117,0.2678,0.2086,15.96,1.2,True,dead_heat
1,3ball-r1:Silverman / Grillo / Dumont de Chassart,BEN SILVERMAN,Ben Silverman,201,manual,3.1,0.409,0.3578,0.2978,10.93,1.3,False,dead_heat
1,3ball-r1:Fox / Conners / Hisatsune,RYAN FOX,Ryan Fox,247,manual,2.75,0.4556,0.4015,0.3429,10.42,1.49,False,dead_heat
1,3ball-r1:M. Lee / Ortiz / Bhatia,AKSHAY BHATIA,Akshay Bhatia,323,manual,2.88,0.4334,0.3827,0.3185,10.22,1.36,False,dead_heat
1,3ball-r1:Harrington / Smith / Russell,PADRAIG HARRINGTON,Padraig Harrington,82,manual,3.75,0.3416,0.2934,0.2534,10.03,0.91,False,dead_heat
1,3ball-r1:B. Wu / Stanger / Yuan,BRANDON WU,Brandon Wu,276,manual,3.1,0.4007,0.3516,0.296,8.99,1.07,False,dead_heat
1,3ball-r1:Schauffele / Thomas / Matsuyama,JUSTIN THOMAS,Justin Thomas,343,manual,3.1,0.3991,0.3493,0.2952,8.28,0.99,False,dead_heat
1,3ball-r1:M. Fitzpatrick / DeChambeau / Hovland,VIKTOR HOVLAND,Viktor Hovland,322,manual,3.25,0.3822,0.3324,0.2899,8.02,0.89,False,dead_heat
1,3ball-r1:Thompson / Puig / Stout,DAVIS THOMPSON,Davis Thompson,329,manual,2.75,0.4395,0.388,0.34,6.69,0.96,False,dead_heat
1,3ball-r1:Spaun / Scheffler / Howell,SCOTTIE SCHEFFLER,Scottie Scheffler,376,manual,1.57,0.7261,0.6766,0.5743,6.23,2.73,False,dead_heat
1,3ball-r1:MacIntyre / Højgaard / Echavarria,NICO ECHAVARRIA,Nico Echavarria,313,manual,3.75,0.3193,0.2755,0.2499,3.3,0.3,False,dead_heat
1,3ball-r1:Nørgaard / Yellamaraju / Repetto Taylor,NIKLAS NORGAARD,Niklas Nørgaard,74,manual,3.25,0.3673,0.3151,0.2803,2.4,0.27,False,dead_heat
1,3ball-r1:Johnson / Clark / Woodland,WYNDHAM CLARK,Wyndham Clark,393,manual,2.38,0.4831,0.4296,0.3959,2.25,0.41,False,dead_heat
1,3ball-r1:Lowry / Niemann / Smalley,ALEX SMALLEY,Alex Smalley,409,manual,3.1,0.3759,0.3263,0.2978,1.15,0.14,False,dead_heat
1,3ball-r1:Henley / Griffin / Gerard,RYAN GERARD,Ryan Gerard,239,manual,3.1,0.3736,0.325,0.2998,0.75,0.09,False,dead_heat
1,3ball-r1:Thompson / Puig / Stout,DAVID PUIG,David Puig,20,manual,2.38,0.4712,0.4221,0.3929,0.47,0.09,True,dead_heat
1,3ball-r1:Herbert / Reitan / Im,SUNGJAE IM,Sungjae Im,412,manual,3.0,0.3813,0.3338,0.3098,0.14,0.02,False,dead_heat
1,3ball-r1:Rose / Rahm / Spieth,JUSTIN ROSE,Justin Rose,280,manual,3.1,0.3677,0.3212,0.2975,-0.43,0.0,False,dead_heat
1,3ball-r1:Herbert / Reitan / Im,KRISTOFFER REITAN,Kristoffer Reitan,58,manual,2.38,0.4631,0.4146,0.3905,-1.33,0.0,True,dead_heat
1,3ball-r1:Nicholas / Montgomery / Surratt,JAMES NICHOLAS,James Nicholas,16,manual,3.0,0.3716,0.3279,0.3028,-1.62,0.0,True,dead_heat
1,3ball-r1:Blair / Coody / Roy,PIERCESON COODY,Pierceson Coody,221,manual,2.38,0.4647,0.4132,0.3849,-1.66,0.0,False,dead_heat
1,3ball-r1:Rai / Morikawa / Day,COLLIN MORIKAWA,Collin Morikawa,335,manual,2.38,0.4663,0.4132,0.3929,-1.66,0.0,False,dead_heat
1,3ball-r1:Berger / Fowler / Bradley,KEEGAN BRADLEY,Keegan Bradley,366,manual,2.63,0.426,0.3734,0.353,-1.8,0.0,False,dead_heat
1,3ball-r1:Mi. Kim / Theegala / Koivun,MICHAEL KIM,Michael Kim,348,manual,3.1,0.3629,0.3155,0.3025,-2.2,0.0,False,dead_heat
1,3ball-r1:Scott / English / Taylor,ADAM SCOTT,Adam Scott,307,manual,2.63,0.4252,0.3711,0.3539,-2.39,0.0,False,dead_heat
1,3ball-r1:Kirk / McGreevy / Knapp,JAKE KNAPP,Jake Knapp,195,manual,2.38,0.4563,0.4069,0.3944,-3.16,0.0,False,dead_heat
1,3ball-r1:Kitayama / Reed / Novak,PATRICK REED,Patrick Reed,96,manual,2.38,0.4576,0.4064,0.3866,-3.29,0.0,False,dead_heat
1,3ball-r1:Noren / Straka / McNealy,MAVERICK MCNEALY,Maverick McNealy,378,manual,2.5,0.4379,0.3856,0.3702,-3.59,0.0,False,dead_heat
1,3ball-r1:Koepka / Young / Gotterup,BROOKS KOEPKA,Brooks Koepka,115,manual,3.0,0.3676,0.3205,0.3067,-3.86,0.0,False,dead_heat
1,3ball-r1:Koepka / Young / Gotterup,CHRIS GOTTERUP,Chris Gotterup,272,manual,3.0,0.3685,0.3199,0.3067,-4.04,0.0,False,dead_heat
1,3ball-r1:Putnam / Hall / Brennan,HARRY HALL,Harry Hall,336,manual,2.63,0.4192,0.363,0.353,-4.52,0.0,False,dead_heat
1,3ball-r1:MacIntyre / Højgaard / Echavarria,NICOLAI HØJGAARD,Nicolai Højgaard,219,manual,2.63,0.4127,0.3619,0.3563,-4.81,0.0,False,dead_heat
1,3ball-r1:Mi. Kim / Theegala / Koivun,JACKSON KOIVUN,Jackson Koivun,32,manual,2.63,0.4115,0.3617,0.3565,-4.86,0.0,True,dead_heat
1,3ball-r1:Kirk / McGreevy / Knapp,MAX MCGREEVY,Max McGreevy,309,manual,3.1,0.3499,0.3059,0.3028,-5.17,0.0,False,dead_heat
1,3ball-r1:Hatton / Burns / Si. Kim,SAM BURNS,Sam Burns,386,manual,2.75,0.3957,0.3443,0.3384,-5.31,0.0,False,dead_heat
1,3ball-r1:Harrington / Smith / Russell,CAMERON SMITH,Cameron Smith,94,manual,2.0,0.5256,0.4734,0.4751,-5.31,0.0,False,dead_heat
1,3ball-r1:Cauley / Schmid / Shipley,MATTI SCHMID,Matti Schmid,312,manual,3.0,0.3613,0.3156,0.3097,-5.32,0.0,False,dead_heat
1,3ball-r1:Hatton / Burns / Si. Kim,SI WOO KIM,Si Woo Kim,439,manual,2.75,0.3972,0.3439,0.3384,-5.43,0.0,False,dead_heat
1,3ball-r1:Harman / Bridgeman / Greyserman,BRIAN HARMAN,Brian Harman,411,manual,2.88,0.3777,0.3281,0.3231,-5.5,0.0,False,dead_heat
1,3ball-r1:Nicholas / Montgomery / Surratt,TAYLOR MONTGOMERY,Taylor Montgomery,241,manual,2.88,0.3715,0.3279,0.3154,-5.57,0.0,False,dead_heat
1,3ball-r1:Blair / Coody / Roy,ZAC BLAIR,Zac Blair,256,manual,3.25,0.3368,0.2889,0.2819,-6.11,0.0,False,dead_heat
1,3ball-r1:Kohles / Keefer / McCarty,BEN KOHLES,Ben Kohles,256,manual,3.0,0.3617,0.3122,0.3039,-6.34,0.0,False,dead_heat
1,3ball-r1:Harman / Bridgeman / Greyserman,JACOB BRIDGEMAN,Jacob Bridgeman,250,manual,2.63,0.4061,0.3555,0.3538,-6.49,0.0,False,dead_heat
1,3ball-r1:Nørgaard / Yellamaraju / Repetto Taylor,ROCCO PAOLO REPETTO TAYLOR,(public/default skill),0,manual,3.75,0.2906,0.249,0.2429,-6.62,0.0,True,dead_heat
1,3ball-r1:Noren / Straka / McNealy,ALEX NOREN,Alex Noren,312,manual,2.88,0.3725,0.3225,0.3213,-7.13,0.0,False,dead_heat
1,3ball-r1:Schauffele / Thomas / Matsuyama,HIDEKI MATSUYAMA,Hideki Matsuyama,367,manual,3.4,0.3194,0.2731,0.2691,-7.13,0.0,False,dead_heat
1,3ball-r1:Cauley / Schmid / Shipley,BUD CAULEY,Bud Cauley,185,manual,2.1,0.4945,0.4408,0.4425,-7.43,0.0,False,dead_heat
1,3ball-r1:Rose / Rahm / Spieth,JORDAN SPIETH,Jordan Spieth,352,manual,3.5,0.3093,0.2643,0.2635,-7.5,0.0,False,dead_heat
1,3ball-r1:Putnam / Hall / Brennan,ANDREW PUTNAM,Andrew Putnam,412,manual,2.75,0.3895,0.3349,0.3376,-7.9,0.0,False,dead_heat
1,3ball-r1:Berger / Fowler / Bradley,DANIEL BERGER,Daniel Berger,250,manual,3.0,0.3538,0.3065,0.3094,-8.06,0.0,False,dead_heat
1,3ball-r1:Kohles / Keefer / McCarty,MATT MCCARTY,Matt McCarty,160,manual,2.5,0.4201,0.3676,0.3646,-8.1,0.0,False,dead_heat
1,3ball-r1:Scott / English / Taylor,NICK TAYLOR,Nick Taylor,394,manual,3.4,0.3185,0.2695,0.2738,-8.39,0.0,False,dead_heat
1,3ball-r1:Lowry / Niemann / Smalley,SHANE LOWRY,Shane Lowry,303,manual,2.63,0.3988,0.3476,0.3511,-8.59,0.0,False,dead_heat
1,3ball-r1:Cauley / Schmid / Shipley,NEAL SHIPLEY,Neal Shipley,77,manual,3.75,0.2866,0.2436,0.2478,-8.66,0.0,False,dead_heat
1,3ball-r1:Silverman / Grillo / Dumont de Chassart,EMILIANO GRILLO,Emiliano Grillo,405,manual,2.63,0.397,0.3468,0.3511,-8.79,0.0,False,dead_heat
1,3ball-r1:Kitayama / Reed / Novak,ANDREW NOVAK,Andrew Novak,392,manual,3.75,0.2851,0.2431,0.2454,-8.84,0.0,False,dead_heat
1,3ball-r1:Harman / Bridgeman / Greyserman,MAX GREYSERMAN,Max Greyserman,226,manual,2.88,0.3626,0.3164,0.3231,-8.89,0.0,False,dead_heat
1,3ball-r1:Henley / Griffin / Gerard,BEN GRIFFIN,Ben Griffin,403,manual,3.0,0.3552,0.3037,0.3098,-8.9,0.0,False,dead_heat
1,3ball-r1:Fox / Conners / Hisatsune,RYO HISATSUNE,Ryo Hisatsune,266,manual,3.0,0.3503,0.3025,0.3143,-9.24,0.0,False,dead_heat
1,3ball-r1:Putnam / Hall / Brennan,MICHAEL BRENNAN,Michael Brennan,69,manual,3.0,0.3532,0.302,0.3094,-9.38,0.0,False,dead_heat
1,3ball-r1:M. Fitzpatrick / DeChambeau / Hovland,MATT FITZPATRICK,Matt Fitzpatrick,342,manual,2.38,0.4327,0.3796,0.3959,-9.65,0.0,False,dead_heat
1,3ball-r1:Scott / English / Taylor,HARRIS ENGLISH,Harris English,364,manual,2.5,0.4132,0.3594,0.3723,-10.15,0.0,False,dead_heat
1,3ball-r1:Hatton / Burns / Si. Kim,TYRRELL HATTON,Tyrrell Hatton,176,manual,2.88,0.3618,0.3118,0.3231,-10.2,0.0,False,dead_heat
1,3ball-r1:B. Wu / Stanger / Yuan,JIMMY STANGER,Jimmy Stanger,72,manual,2.38,0.4263,0.3752,0.3855,-10.71,0.0,False,dead_heat
1,3ball-r1:Johnson / Clark / Woodland,DUSTIN JOHNSON,Dustin Johnson,78,manual,3.25,0.319,0.274,0.2899,-10.95,0.0,False,dead_heat
1,3ball-r1:Kirk / McGreevy / Knapp,CHRIS KIRK,Chris Kirk,360,manual,3.1,0.3341,0.2872,0.3028,-10.97,0.0,False,dead_heat
1,3ball-r1:Johnson / Clark / Woodland,GARY WOODLAND,Gary Woodland,349,manual,3.0,0.3448,0.2964,0.3141,-11.09,0.0,False,dead_heat
1,3ball-r1:Mi. Kim / Theegala / Koivun,SAHITH THEEGALA,Sahith Theegala,437,manual,2.75,0.3704,0.3228,0.341,-11.23,0.0,False,dead_heat
1,3ball-r1:To. Kim / A. Fitzpatrick / James,ALEX FITZPATRICK,Alex Fitzpatrick,38,manual,2.38,0.4213,0.3722,0.3959,-11.42,0.0,True,dead_heat
1,3ball-r1:Henley / Griffin / Gerard,RUSSELL HENLEY,Russell Henley,339,manual,2.38,0.4269,0.3713,0.3905,-11.62,0.0,False,dead_heat
1,3ball-r1:Kohles / Keefer / McCarty,JOHNNY KEEFER,Johnny Keefer,76,manual,2.75,0.3704,0.3202,0.3315,-11.94,0.0,False,dead_heat
1,3ball-r1:Berger / Fowler / Bradley,RICKIE FOWLER,Rickie Fowler,363,manual,2.75,0.3684,0.3202,0.3376,-11.96,0.0,False,dead_heat
1,3ball-r1:Kitayama / Reed / Novak,KURT KITAYAMA,Kurt Kitayama,340,manual,2.5,0.398,0.3506,0.368,-12.36,0.0,False,dead_heat
1,3ball-r1:Noren / Straka / McNealy,SEPP STRAKA,Sepp Straka,386,manual,3.0,0.3379,0.2919,0.3085,-12.43,0.0,False,dead_heat
1,3ball-r1:Rose / Rahm / Spieth,JON RAHM,Jon Rahm,177,manual,2.1,0.466,0.4145,0.4391,-12.95,0.0,False,dead_heat
1,3ball-r1:M. Fitzpatrick / DeChambeau / Hovland,BRYSON DECHAMBEAU,Bryson DeChambeau,66,manual,3.0,0.3315,0.288,0.3141,-13.59,0.0,False,dead_heat
1,3ball-r1:MacIntyre / Højgaard / Echavarria,ROBERT MACINTYRE,Robert MacIntyre,250,manual,2.38,0.4141,0.3626,0.3938,-13.7,0.0,False,dead_heat
1,3ball-r1:Lowry / Niemann / Smalley,JOAQUIN NIEMANN,Joaquín Niemann,100,manual,2.63,0.3765,0.3261,0.3511,-14.22,0.0,False,dead_heat
1,3ball-r1:Koepka / Young / Gotterup,CAMERON YOUNG,Cameron Young,388,manual,2.38,0.4098,0.3597,0.3866,-14.4,0.0,False,dead_heat
1,3ball-r1:M. Lee / Ortiz / Bhatia,MIN WOO LEE,Min Woo Lee,257,manual,2.1,0.4502,0.3984,0.4368,-16.34,0.0,False,dead_heat
1,3ball-r1:Nørgaard / Yellamaraju / Repetto Taylor,SUDARSHAN YELLAMARAJU,Sudarshan Yellamaraju,69,manual,1.91,0.4925,0.4359,0.4769,-16.74,0.0,False,dead_heat
1,3ball-r1:M. Lee / Ortiz / Bhatia,CARLOS ORTIZ,Carlos Ortiz,55,manual,3.75,0.2583,0.2189,0.2446,-17.91,0.0,True,dead_heat
1,3ball-r1:Blair / Coody / Roy,KEVIN ROY,Kevin Roy,227,manual,2.75,0.3448,0.2979,0.3332,-18.08,0.0,False,dead_heat
1,3ball-r1:Nicholas / Montgomery / Surratt,CALEB SURRATT,Caleb Surratt,9,manual,2.38,0.3848,0.3442,0.3817,-18.08,0.0,True,dead_heat
1,3ball-r1:Harrington / Smith / Russell,MILES RUSSELL,Miles Russell,12,manual,3.5,0.2765,0.2331,0.2715,-18.4,0.0,True,dead_heat
1,3ball-r1:Fox / Conners / Hisatsune,COREY CONNERS,Corey Conners,389,manual,2.75,0.345,0.2959,0.3429,-18.62,0.0,False,dead_heat
1,3ball-r1:Schauffele / Thomas / Matsuyama,XANDER SCHAUFFELE,Xander Schauffele,343,manual,2.1,0.4305,0.3776,0.4357,-20.71,0.0,False,dead_heat
1,3ball-r1:B. Wu / Stanger / Yuan,CARL YUAN,Carl Yuan,177,manual,2.88,0.3172,0.2732,0.3186,-21.31,0.0,False,dead_heat
1,3ball-r1:Herbert / Reitan / Im,LUCAS HERBERT,Lucas Herbert,112,manual,3.1,0.2927,0.2516,0.2998,-22.01,0.0,False,dead_heat
1,3ball-r1:Silverman / Grillo / Dumont de Chassart,ADRIEN DUMONT DE CHASSART,Adrien Dumont de Chassart,135,manual,2.63,0.3437,0.2954,0.3511,-22.32,0.0,False,dead_heat
1,3ball-r1:Spaun / Scheffler / Howell,J.J. SPAUN,J.J. Spaun,405,manual,2.88,0.2966,0.254,0.313,-26.85,0.0,False,dead_heat
1,3ball-r1:McDowell / Rodgers / Mitchell,GRAEME MCDOWELL,Graeme McDowell,28,manual,3.75,0.22,0.1845,0.2446,-30.83,0.0,True,dead_heat
1,3ball-r1:Fleetwood / McIlroy / Åberg,LUDVIG ÅBERG,Ludvig Åberg,249,manual,3.1,0.2624,0.2215,0.296,-31.34,0.0,False,dead_heat
1,3ball-r1:Fleetwood / McIlroy / Åberg,RORY MCILROY,Rory McIlroy,279,manual,2.38,0.3338,0.2859,0.3855,-31.95,0.0,False,dead_heat
1,3ball-r1:Thompson / Puig / Stout,PRESTON STOUT,Preston Stout,4,manual,3.5,0.2257,0.1899,0.2671,-33.54,0.0,True,dead_heat
1,3ball-r1:McDowell / Rodgers / Mitchell,PATRICK RODGERS,Patrick Rodgers,447,manual,2.88,0.2555,0.2157,0.3185,-37.88,0.0,False,dead_heat
1,3ball-r1:To. Kim / A. Fitzpatrick / James,BEN JAMES,Ben James,26,manual,3.25,0.2233,0.1877,0.2899,-39.01,0.0,True,dead_heat
1,3ball-r1:Poston / Cantlay / Horschel,PATRICK CANTLAY,Patrick Cantlay,333,manual,2.1,0.3228,0.2749,0.4368,-42.27,0.0,False,dead_heat
1,3ball-r1:Spaun / Scheffler / Howell,MASON HOWELL,Mason Howell,12,manual,8.0,0.0893,0.0694,0.1127,-44.5,0.0,True,dead_heat
1,3ball-r1:Schaper / Suber / Fang,JAYDEN SCHAPER,Jayden Schaper,12,manual,2.1,0.2961,0.255,0.4301,-46.45,0.0,True,dead_heat
1,3ball-r1:Poston / Cantlay / Horschel,BILLY HORSCHEL,Billy Horschel,320,manual,3.75,0.1692,0.1374,0.2446,-48.48,0.0,False,dead_heat
1,3ball-r1:Rai / Morikawa / Day,JASON DAY,Jason Day,316,manual,3.5,0.1355,0.1092,0.2671,-61.78,0.0,False,dead_heat
