round,market,group_id,player,resolved,n_rounds,book,odds,p_best,p_dead_heat_equiv,p_market,ev_pct,kelly_stake,thin_sample,settlement_rule
4,2ball,bovada-2ball-r4:27497537,Brian Harman,Brian Harman,411,manual,1.909,0.6894,0.6425,0.5,22.67,6.23,False,dead_heat
4,2ball,bovada-2ball-r4:27496536,Matt McCarty,Matt McCarty,160,manual,2.05,0.5895,0.54,0.4675,10.71,2.55,False,dead_heat
4,2ball,bovada-2ball-r4:27496534,Keegan Bradley,Keegan Bradley,366,manual,1.909,0.6207,0.5697,0.5,8.76,2.41,False,dead_heat
4,2ball,bovada-2ball-r4:27496537,Denny McCarthy,Denny McCarthy,409,manual,1.87,0.6293,0.5797,0.5108,8.41,2.42,False,dead_heat
4,2ball,bovada-2ball-r4:27497538,Patrick Cantlay,Patrick Cantlay,333,manual,1.69,0.6863,0.6366,0.5656,7.58,2.75,False,dead_heat
4,2ball,bovada-2ball-r4:27497533,Hideki Matsuyama,Hideki Matsuyama,367,manual,2.1,0.5601,0.5084,0.4573,6.76,1.54,False,dead_heat
4,2ball,bovada-2ball-r4:27497933,Wyndham Clark,Wyndham Clark,393,manual,1.833,0.6256,0.5756,0.5217,5.53,1.66,False,dead_heat
4,2ball,bovada-2ball-r4:27497932,Eric Cole,Eric Cole,396,manual,2.05,0.5643,0.5128,0.4675,5.13,1.22,False,dead_heat
4,2ball,bovada-2ball-r4:27496538,Kristoffer Reitan,Kristoffer Reitan,58,manual,1.909,0.5981,0.5499,0.5,4.98,1.37,True,dead_heat
4,2ball,bovada-2ball-r4:27497532,Bud Cauley,Bud Cauley,185,manual,2.25,0.5168,0.4634,0.4255,4.27,0.85,False,dead_heat
4,2ball,bovada-2ball-r4:27497534,Justin Thomas,Justin Thomas,343,manual,1.741,0.6457,0.5977,0.5526,4.05,1.37,False,dead_heat
4,2ball,bovada-2ball-r4:27498331,Matt Fitzpatrick,Matt Fitzpatrick,342,manual,1.769,0.6356,0.5809,0.5427,2.78,0.9,False,dead_heat
4,2ball,bovada-2ball-r4:27497931,Sam Burns,Sam Burns,386,manual,1.909,0.5896,0.5378,0.5,2.67,0.73,False,dead_heat
4,2ball,bovada-2ball-r4:27497535,Alex Fitzpatrick,Alex Fitzpatrick,38,manual,1.69,0.6339,0.5905,0.5656,-0.21,0.0,True,dead_heat
4,2ball,bovada-2ball-r4:27497934,Viktor Hovland,Viktor Hovland,322,manual,2.85,0.3984,0.3483,0.3364,-0.74,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27497536,Chris Gotterup,Chris Gotterup,272,manual,2.1,0.5171,0.4679,0.4573,-1.74,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27496533,Maverick McNealy,Maverick McNealy,378,manual,1.769,0.6046,0.5535,0.5427,-2.07,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27496539,Sungjae Im,Sungjae Im,412,manual,2.2,0.492,0.4399,0.438,-3.22,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27496535,Daniel Berger,Daniel Berger,250,manual,1.741,0.6014,0.5527,0.5526,-3.77,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27496535,Tom Hoge,Tom Hoge,427,manual,2.15,0.496,0.4473,0.4474,-3.83,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27496539,Aaron Rai,Aaron Rai,379,manual,1.714,0.6122,0.5601,0.562,-3.99,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27497531,Tommy Fleetwood,Tommy Fleetwood,318,manual,1.69,0.6148,0.5661,0.5656,-4.33,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27497531,Kurt Kitayama,Kurt Kitayama,340,manual,2.2,0.4827,0.4339,0.4344,-4.54,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27497536,Collin Morikawa,Collin Morikawa,335,manual,1.769,0.5813,0.5321,0.5427,-5.86,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27497934,Scottie Scheffler,Scottie Scheffler,376,manual,1.444,0.7019,0.6517,0.6636,-5.86,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27496533,Nick Taylor,Nick Taylor,394,manual,2.1,0.4976,0.4465,0.4573,-6.24,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27497535,Jackson Suber,Jackson Suber,131,manual,2.2,0.4529,0.4095,0.4344,-9.9,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27497532,Russell Henley,Russell Henley,339,manual,1.667,0.5899,0.5366,0.5745,-10.57,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27497931,Si Woo Kim,Si Woo Kim,439,manual,1.909,0.514,0.4622,0.5,-11.76,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27498331,Ben Griffin,Ben Griffin,403,manual,2.1,0.4738,0.4191,0.4573,-11.99,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27497932,Keith Mitchell,Keith Mitchell,389,manual,1.8,0.5386,0.4872,0.5325,-12.31,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27497533,J J Spaun,J.J. Spaun,405,manual,1.769,0.5433,0.4916,0.5427,-13.02,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27497534,Robert MacIntyre,Robert MacIntyre,250,manual,2.15,0.4504,0.4024,0.4474,-13.49,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27496538,Corey Conners,Corey Conners,389,manual,1.909,0.4984,0.4501,0.5,-14.07,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27497933,Shane Lowry,Shane Lowry,303,manual,2.0,0.4744,0.4244,0.4783,-15.12,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27496536,Ryo Hisatsune,Ryo Hisatsune,266,manual,1.8,0.5094,0.46,0.5325,-17.21,0.0,False,dead_heat
4,2ball,bovada-2ball-r4:27496534,Harris English,Harris English,364,manual,1.909,0.4813,0.4303,0.5,-17.85,0.0,False,dead_heat
