name,score,made_cut
Lucas Glover,-14,1
Lee Hodges,-12,1
Zac Blair,-11,1
Jackson Suber,-10,1
David Lipsky,-10,1
Ryo Hisatsune,-10,1
Tyler Duncan,-10,1
Troy Merritt,-10,1
Ben Kohles,-10,1
Max Homa,-9,1
Ben Griffin,-8,1
Doug Ghim,-8,1
Pontus Nyholm,-8,1
Chris Gotterup,-8,1
William Mouw,-8,1
Michael Brennan,-8,1
Hayden Springer,-8,1
Zach Johnson,-8,1
Davis Chatfield,-7,1
Blades Brown,-7,1
Chan Kim,-7,1
Harry Higgs,-7,1
Tom Kim,-7,1
Andrew Putnam,-7,1
Luke Gutschewski,-7,1
Austin Smotherman,-7,1
Aaron Wise,-7,1
Preston Stout,-7,1
Emiliano Grillo,-6,1
Chandler Phillips,-6,1
Steven Fisk,-6,1
Christiaan Bezuidenhout,-6,1
Zecheng Dou,-6,1
Gordon Sargent,-6,1
Patrick Fishburn,-6,1
Stephan Jaeger,-6,1
Tom Hoge,-5,1
Karl Vilips,-5,1
Peter Malnati,-5,1
Beau Hossler,-5,1
Nicholas Lindheim,-5,1
Pierceson Coody,-5,1
Sungjae Im,-5,1
Ryan Brehm,-5,1
J.T. Poston,-5,1
Mac Meissner,-5,1
Jacob Bridgeman,-5,1
Rafael Campos,-5,1
Joel Dahmen,-5,1
Davis Riley,-5,1
Matt Kuchar,-4,1
Austin Eckroat,-4,1
Camilo Villegas,-4,1
Tony Finau,-4,1
Davis Thompson,-4,1
Trace Crowe,-4,1
Ryan Voois,-4,1
Matt Wallace,-4,1
Kevin Yu,-4,1
Eric Cole,-3,1
Keith Mitchell,-3,1
David Skinns,-3,1
Fabián Gómez,-3,1
Mark Hubbard,-3,1
Mackenzie Hughes,-3,1
Adrien Dumont de Chassart,-3,1
Max McGreevy,-3,1
Rickie Fowler,-3,1
Keegan Bradley,-3,1
Will Gordon,-3,1
Keita Nakajima,-3,1
Jordan Spieth,-3,1
Erik van Rooyen,-3,1
Jonathan Byrd,-3,1
Zach Bauchou,-3,1
Michael Feagles,-3,1
Lanto Griffin,-3,1
Nick Dunlap,-3,1
A.J. Ewart,-3,1
Nick Hardy,-2,0
Jimmy Stanger,-2,0
Neal Shipley,-2,0
Austin Cook,-2,0
Max Greyserman,-2,0
Johnny Keefer,-2,0
Jeffrey Kang,-2,0
Adam Svensson,-2,0
Takumi Kanaya,-2,0
Sudarshan Yellamaraju,-2,0
Webb Simpson,-2,0
Kevin Streelman,-2,0
Michael Thorbjornsen,-2,0
Daniel Berger,-2,0
Rico Hoey,-2,0
Joe Highsmith,-1,0
Dylan Wu,-1,0
Brice Garnett,-1,0
Paul Peterson,-1,0
Hank Lebioda,-1,0
Taylor Moore,-1,0
Dylan Frittelli,-1,0
Patrick Adler,-1,0
Brendon Todd,-1,0
Luke Clanton,-1,0
Kensei Hirata,-1,0
Haotong Li,-1,0
Vince Whaley,0,0
Aldrich Potgieter,0,0
Carson Young,0,0
Michael Kim,0,0
Ben Martin,0,0
Justin Lower,0,0
Martin Laird,0,0
Matthieu Pavon,0,0
Marcelo Rozo,0,0
Denny McCarthy,0,0
Garrick Higgo,0,0
Robert Streb,0,0
Brian Campbell,0,0
Kevin Roy,0,0
Jackson Koivun,1,0
Andrew Novak,1,0
Patton Kizzire,1,0
Kris Ventura,1,0
Noah Goodwin,1,0
Taylor Pendrith,1,0
John VanDerLaan,2,0
Alejandro Tosti,2,0
Luke List,2,0
Ben Silverman,2,0
Adam Hadwin,2,0
Augusto Núñez,2,0
Cameron Champ,2,0
Adam Schenk,2,0
Thorbjørn Olesen,4,0
S.Y. Noh,4,0
Chad Ramey,4,0
Mason Howell,5,0
Chandler Blanchet,5,0
Christo Lamprecht,7,0
Jeremy Paul,7,0
Danny Walker,11,0
Darin Fisher,14,0
Séamus Power,0,0
