name,score,made_cut
Jackson Suber,-13,1
Bud Cauley,-12,1
Wyndham Clark,-11,1
Brice Garnett,-11,1
Tommy Fleetwood,-11,1
Jesper Svensson,-11,1
Ryan Fox,-10,1
Sam Burns,-10,1
Billy Horschel,-10,1
Sudarshan Yellamaraju,-10,1
Jimmy Stanger,-10,1
Viktor Hovland,-9,1
David Skinns,-9,1
Matt Fitzpatrick,-9,1
Jacob Bridgeman,-9,1
Robert MacIntyre,-9,1
Shane Lowry,-9,1
Sahith Theegala,-9,1
Luke Clanton,-8,1
Max Homa,-8,1
William Mouw,-8,1
Collin Morikawa,-7,1
Adam Hadwin,-7,1
Alejandro Tosti,-7,1
Taylor Moore,-7,1
Ben James,-8,1
Keith Mitchell,-6,1
Brooks Koepka,-6,1
