group,player,resolved,n_rounds,odds,p_model,p_market,ev_pct,kelly_stake,thin_sample
Schaper / Suber / Fang,JACKSON SUBER,Jackson Suber,131,2.5,0.4917,0.3613,22.9,3.82,False
M. Lee / Ortiz / Bhatia,AKSHAY BHATIA,Akshay Bhatia,323,2.88,0.3888,0.3185,12.0,1.59,False
Fox / Conners / Hisatsune,RYAN FOX,Ryan Fox,247,2.75,0.4069,0.3429,11.9,1.7,False
Schaper / Suber / Fang,ETHAN FANG,Ethan Fang,6,4.33,0.2583,0.2086,11.8,0.89,True
M. Fitzpatrick / DeChambeau / Hovland,VIKTOR HOVLAND,Viktor Hovland,322,3.25,0.3434,0.2899,11.6,1.29,False
Thompson / Puig / Stout,DAVIS THOMPSON,Davis Thompson,329,2.75,0.4007,0.34,10.2,1.46,False
Schauffele / Thomas / Matsuyama,JUSTIN THOMAS,Justin Thomas,343,3.1,0.355,0.2952,10.1,1.2,False
Harrington / Smith / Russell,PADRAIG HARRINGTON,Padraig Harrington,82,3.75,0.2906,0.2534,9.0,0.82,False
B. Wu / Stanger / Yuan,BRANDON WU,Brandon Wu,276,3.1,0.3501,0.296,8.5,1.02,False
Silverman / Grillo / Dumont de Chassart,BEN SILVERMAN,Ben Silverman,201,3.1,0.3473,0.2978,7.7,0.91,False
MacIntyre / Højgaard / Echavarria,NICO ECHAVARRIA,Nico Echavarria,313,3.75,0.2861,0.2499,7.3,0.66,False
Johnson / Clark / Woodland,WYNDHAM CLARK,Wyndham Clark,393,2.38,0.4502,0.3959,7.2,1.3,False
To. Kim / A. Fitzpatrick / James,ALEX FITZPATRICK,Alex Fitzpatrick,38,2.38,0.446,0.3959,6.1,1.11,True
Herbert / Reitan / Im,KRISTOFFER REITAN,Kristoffer Reitan,58,2.38,0.4272,0.3905,1.7,0.3,True
Berger / Fowler / Bradley,KEEGAN BRADLEY,Keegan Bradley,366,2.63,0.3861,0.353,1.5,0.24,False
Blair / Coody / Roy,PIERCESON COODY,Pierceson Coody,221,2.38,0.4254,0.3849,1.2,0.23,False
Mi. Kim / Theegala / Koivun,MICHAEL KIM,Michael Kim,348,3.1,0.3257,0.3025,1.0,0.12,False
Nørgaard / Yellamaraju / Repetto Taylor,NIKLAS NORGAARD,Niklas Nørgaard,74,3.25,0.3092,0.2803,0.5,0.06,False
Lowry / Niemann / Smalley,ALEX SMALLEY,Alex Smalley,409,3.1,0.3238,0.2978,0.4,0.04,False
Herbert / Reitan / Im,SUNGJAE IM,Sungjae Im,412,3.0,0.3332,0.3098,-0.0,0.0,False
Thompson / Puig / Stout,DAVID PUIG,David Puig,20,2.38,0.4159,0.3929,-1.0,0.0,True
Nicholas / Montgomery / Surratt,JAMES NICHOLAS,James Nicholas,16,3.0,0.3299,0.3028,-1.0,0.0,True
Rai / Morikawa / Day,AARON RAI,Aaron Rai,379,2.75,0.3573,0.34,-1.7,0.0,False
Scott / English / Taylor,ADAM SCOTT,Adam Scott,307,2.63,0.3716,0.3539,-2.3,0.0,False
To. Kim / A. Fitzpatrick / James,TOM KIM,Tom Kim,356,3.0,0.3256,0.3141,-2.3,0.0,False
Henley / Griffin / Gerard,RYAN GERARD,Ryan Gerard,239,3.1,0.3141,0.2998,-2.6,0.0,False
Rose / Rahm / Spieth,JORDAN SPIETH,Jordan Spieth,352,3.5,0.278,0.2635,-2.7,0.0,False
Noren / Straka / McNealy,MAVERICK MCNEALY,Maverick McNealy,378,2.5,0.3887,0.3702,-2.8,0.0,False
Harman / Bridgeman / Greyserman,BRIAN HARMAN,Brian Harman,411,2.88,0.3372,0.3231,-2.9,0.0,False
Koepka / Young / Gotterup,BROOKS KOEPKA,Brooks Koepka,115,3.0,0.3236,0.3067,-2.9,0.0,False
