season,week,date,home,away,neutral,market,side,line,odds
2026,1,2026-09-09,Seattle Seahawks,New England Patriots,0,ml,home,,1.5050505050505052
2026,1,2026-09-09,Seattle Seahawks,New England Patriots,0,ml,away,,2.6399999999999997
2026,1,2026-09-09,Seattle Seahawks,New England Patriots,0,spread,home,-3.5,1.9090909090909092
2026,1,2026-09-09,Seattle Seahawks,New England Patriots,0,spread,away,3.5,1.9090909090909092
2026,1,2026-09-09,Seattle Seahawks,New England Patriots,0,total,over,44.5,1.9090909090909092
2026,1,2026-09-09,Seattle Seahawks,New England Patriots,0,total,under,44.5,1.9090909090909092
2026,1,2026-09-10,Los Angeles Rams,San Francisco 49ers,1,ml,home,,1.5555555555555556
2026,1,2026-09-10,Los Angeles Rams,San Francisco 49ers,1,ml,away,,2.5
2026,1,2026-09-10,Los Angeles Rams,San Francisco 49ers,1,spread,home,-3.0,1.8333333333333335
2026,1,2026-09-10,Los Angeles Rams,San Francisco 49ers,1,spread,away,3.0,2.0
2026,1,2026-09-10,Los Angeles Rams,San Francisco 49ers,1,total,over,48.5,1.9090909090909092
2026,1,2026-09-10,Los Angeles Rams,San Francisco 49ers,1,total,under,48.5,1.9090909090909092
2026,1,2026-09-13,Tennessee Titans,New York Jets,0,ml,home,,1.617283950617284
2026,1,2026-09-13,Tennessee Titans,New York Jets,0,ml,away,,2.3600000000000003
2026,1,2026-09-13,Tennessee Titans,New York Jets,0,spread,home,-3.0,1.9090909090909092
2026,1,2026-09-13,Tennessee Titans,New York Jets,0,spread,away,3.0,1.9090909090909092
2026,1,2026-09-13,Tennessee Titans,New York Jets,0,total,over,39.5,1.9090909090909092
2026,1,2026-09-13,Tennessee Titans,New York Jets,0,total,under,39.5,1.9090909090909092
2026,1,2026-09-13,Philadelphia Eagles,Washington Commanders,0,ml,home,,1.4201680672268908
2026,1,2026-09-13,Philadelphia Eagles,Washington Commanders,0,ml,away,,2.95
2026,1,2026-09-13,Philadelphia Eagles,Washington Commanders,0,spread,home,-5.5,1.9090909090909092
2026,1,2026-09-13,Philadelphia Eagles,Washington Commanders,0,spread,away,5.5,1.9090909090909092
2026,1,2026-09-13,Philadelphia Eagles,Washington Commanders,0,total,over,46.5,1.9090909090909092
2026,1,2026-09-13,Philadelphia Eagles,Washington Commanders,0,total,under,46.5,1.9090909090909092
2026,1,2026-09-13,Minnesota Vikings,Green Bay Packers,0,ml,home,,1.925925925925926
2026,1,2026-09-13,Minnesota Vikings,Green Bay Packers,0,ml,away,,1.8928571428571428
2026,1,2026-09-13,Minnesota Vikings,Green Bay Packers,0,spread,home,1.5,1.8
2026,1,2026-09-13,Minnesota Vikings,Green Bay Packers,0,spread,away,-1.5,2.05
2026,1,2026-09-13,Minnesota Vikings,Green Bay Packers,0,total,over,44.5,1.8695652173913042
2026,1,2026-09-13,Minnesota Vikings,Green Bay Packers,0,total,under,44.5,1.9523809523809523
2026,1,2026-09-13,Las Vegas Raiders,Miami Dolphins,0,ml,home,,1.5714285714285714
2026,1,2026-09-13,Las Vegas Raiders,Miami Dolphins,0,ml,away,,2.45
2026,1,2026-09-13,Las Vegas Raiders,Miami Dolphins,0,spread,home,-3.0,1.8333333333333335
2026,1,2026-09-13,Las Vegas Raiders,Miami Dolphins,0,spread,away,3.0,2.0
2026,1,2026-09-13,Las Vegas Raiders,Miami Dolphins,0,total,over,41.5,1.9090909090909092
2026,1,2026-09-13,Las Vegas Raiders,Miami Dolphins,0,total,under,41.5,1.9090909090909092
2026,1,2026-09-13,New York Giants,Dallas Cowboys,0,ml,home,,2.1
2026,1,2026-09-13,New York Giants,Dallas Cowboys,0,ml,away,,1.7692307692307692
2026,1,2026-09-13,New York Giants,Dallas Cowboys,0,spread,home,2.5,1.8695652173913042
2026,1,2026-09-13,New York Giants,Dallas Cowboys,0,spread,away,-2.5,1.9523809523809523
2026,1,2026-09-13,New York Giants,Dallas Cowboys,0,total,over,48.5,1.9090909090909092
2026,1,2026-09-13,New York Giants,Dallas Cowboys,0,total,under,48.5,1.9090909090909092
2026,1,2026-09-13,Pittsburgh Steelers,Atlanta Falcons,0,ml,home,,1.5714285714285714
2026,1,2026-09-13,Pittsburgh Steelers,Atlanta Falcons,0,ml,away,,2.45
2026,1,2026-09-13,Pittsburgh Steelers,Atlanta Falcons,0,spread,home,-3.0,1.8333333333333335
2026,1,2026-09-13,Pittsburgh Steelers,Atlanta Falcons,0,spread,away,3.0,2.0
2026,1,2026-09-13,Pittsburgh Steelers,Atlanta Falcons,0,total,over,42.5,1.9090909090909092
2026,1,2026-09-13,Pittsburgh Steelers,Atlanta Falcons,0,total,under,42.5,1.9090909090909092
2026,1,2026-09-13,Los Angeles Chargers,Arizona Cardinals,0,ml,home,,1.1538461538461537
2026,1,2026-09-13,Los Angeles Chargers,Arizona Cardinals,0,ml,away,,5.7
2026,1,2026-09-13,Los Angeles Chargers,Arizona Cardinals,0,spread,home,-11.5,1.9090909090909092
2026,1,2026-09-13,Los Angeles Chargers,Arizona Cardinals,0,spread,away,11.5,1.9090909090909092
2026,1,2026-09-13,Los Angeles Chargers,Arizona Cardinals,0,total,over,45.5,1.9090909090909092
2026,1,2026-09-13,Los Angeles Chargers,Arizona Cardinals,0,total,under,45.5,1.9090909090909092
2026,1,2026-09-13,Indianapolis Colts,Baltimore Ravens,0,ml,home,,2.6
2026,1,2026-09-13,Indianapolis Colts,Baltimore Ravens,0,ml,away,,1.5208333333333335
2026,1,2026-09-13,Indianapolis Colts,Baltimore Ravens,0,spread,home,3.5,1.9090909090909092
2026,1,2026-09-13,Indianapolis Colts,Baltimore Ravens,0,spread,away,-3.5,1.9090909090909092
2026,1,2026-09-13,Indianapolis Colts,Baltimore Ravens,0,total,over,49.5,1.9090909090909092
2026,1,2026-09-13,Indianapolis Colts,Baltimore Ravens,0,total,under,49.5,1.9090909090909092
2026,1,2026-09-13,Houston Texans,Buffalo Bills,0,ml,home,,1.925925925925926
2026,1,2026-09-13,Houston Texans,Buffalo Bills,0,ml,away,,1.8928571428571428
2026,1,2026-09-13,Houston Texans,Buffalo Bills,0,spread,home,1.5,1.8333333333333335
2026,1,2026-09-13,Houston Texans,Buffalo Bills,0,spread,away,-1.5,2.0
2026,1,2026-09-13,Houston Texans,Buffalo Bills,0,total,over,45.5,1.9523809523809523
2026,1,2026-09-13,Houston Texans,Buffalo Bills,0,total,under,45.5,1.8695652173913042
2026,1,2026-09-13,Detroit Lions,New Orleans Saints,0,ml,home,,1.2941176470588236
2026,1,2026-09-13,Detroit Lions,New Orleans Saints,0,ml,away,,3.7
2026,1,2026-09-13,Detroit Lions,New Orleans Saints,0,spread,home,-7.0,1.9090909090909092
2026,1,2026-09-13,Detroit Lions,New Orleans Saints,0,spread,away,7.0,1.9090909090909092
2026,1,2026-09-13,Detroit Lions,New Orleans Saints,0,total,over,48.5,1.8695652173913042
2026,1,2026-09-13,Detroit Lions,New Orleans Saints,0,total,under,48.5,1.9523809523809523
2026,1,2026-09-13,Cincinnati Bengals,Tampa Bay Buccaneers,0,ml,home,,1.5050505050505052
2026,1,2026-09-13,Cincinnati Bengals,Tampa Bay Buccaneers,0,ml,away,,2.6399999999999997
2026,1,2026-09-13,Cincinnati Bengals,Tampa Bay Buccaneers,0,spread,home,-3.5,1.9090909090909092
2026,1,2026-09-13,Cincinnati Bengals,Tampa Bay Buccaneers,0,spread,away,3.5,1.9090909090909092
2026,1,2026-09-13,Cincinnati Bengals,Tampa Bay Buccaneers,0,total,over,50.5,1.8695652173913042
2026,1,2026-09-13,Cincinnati Bengals,Tampa Bay Buccaneers,0,total,under,50.5,1.9523809523809523
2026,1,2026-09-13,Carolina Panthers,Chicago Bears,0,ml,home,,2.1399999999999997
2026,1,2026-09-13,Carolina Panthers,Chicago Bears,0,ml,away,,1.7407407407407407
2026,1,2026-09-13,Carolina Panthers,Chicago Bears,0,spread,home,2.5,1.9090909090909092
2026,1,2026-09-13,Carolina Panthers,Chicago Bears,0,spread,away,-2.5,1.9090909090909092
2026,1,2026-09-13,Carolina Panthers,Chicago Bears,0,total,over,44.5,1.9090909090909092
2026,1,2026-09-13,Carolina Panthers,Chicago Bears,0,total,under,44.5,1.9090909090909092
2026,1,2026-09-13,Jacksonville Jaguars,Cleveland Browns,0,ml,home,,1.2941176470588236
2026,1,2026-09-13,Jacksonville Jaguars,Cleveland Browns,0,ml,away,,3.7
2026,1,2026-09-13,Jacksonville Jaguars,Cleveland Browns,0,spread,home,-7.5,1.9090909090909092
2026,1,2026-09-13,Jacksonville Jaguars,Cleveland Browns,0,spread,away,7.5,1.9090909090909092
2026,1,2026-09-13,Jacksonville Jaguars,Cleveland Browns,0,total,over,40.5,1.8695652173913042
2026,1,2026-09-13,Jacksonville Jaguars,Cleveland Browns,0,total,under,40.5,1.9523809523809523
2026,1,2026-09-14,Kansas City Chiefs,Denver Broncos,0,ml,home,,1.6756756756756757
2026,1,2026-09-14,Kansas City Chiefs,Denver Broncos,0,ml,away,,2.24
2026,1,2026-09-14,Kansas City Chiefs,Denver Broncos,0,spread,home,-2.5,1.847457627118644
2026,1,2026-09-14,Kansas City Chiefs,Denver Broncos,0,spread,away,2.5,1.9803921568627452
2026,1,2026-09-14,Kansas City Chiefs,Denver Broncos,0,total,over,42.5,1.9090909090909092
2026,1,2026-09-14,Kansas City Chiefs,Denver Broncos,0,total,under,42.5,1.9090909090909092
