date,home,away,market,side,line,odds
2026-10-09,Toronto Maple Leafs,Boston Bruins,ml,home,,1.88
2026-10-09,Toronto Maple Leafs,Boston Bruins,ml,away,,2.02
2026-10-09,Toronto Maple Leafs,Boston Bruins,spread,home,-1.5,2.95
2026-10-09,Toronto Maple Leafs,Boston Bruins,spread,away,1.5,1.43
2026-10-09,Toronto Maple Leafs,Boston Bruins,total,over,6.5,1.95
2026-10-09,Toronto Maple Leafs,Boston Bruins,total,under,6.5,1.87
2026-10-09,Colorado Avalanche,Vegas Golden Knights,ml,home,,1.86
2026-10-09,Colorado Avalanche,Vegas Golden Knights,ml,away,,2.04
2026-10-09,Colorado Avalanche,Vegas Golden Knights,spread,home,-1.5,3.05
2026-10-09,Colorado Avalanche,Vegas Golden Knights,spread,away,1.5,1.40
2026-10-09,Colorado Avalanche,Vegas Golden Knights,total,over,6.5,1.90
2026-10-09,Colorado Avalanche,Vegas Golden Knights,total,under,6.5,1.92
