date,game_id,game_type,home,away,home_goals,away_goals
2025-10-07,2025020001,2,Florida Panthers,Chicago Blackhawks,3,2
2025-10-07,2025020002,2,New York Rangers,Pittsburgh Penguins,0,3
2025-10-07,2025020003,2,Los Angeles Kings,Colorado Avalanche,1,4
2025-10-08,2025020004,2,Toronto Maple Leafs,Montréal Canadiens,5,2
2025-10-08,2025020005,2,Washington Capitals,Boston Bruins,1,3
2025-10-08,2025020006,2,Edmonton Oilers,Calgary Flames,3,4
2025-10-08,2025020007,2,Vegas Golden Knights,Los Angeles Kings,5,6
2025-10-09,2025020008,2,Boston Bruins,Chicago Blackhawks,4,3
2025-10-09,2025020009,2,Buffalo Sabres,New York Rangers,0,4
2025-10-09,2025020010,2,Detroit Red Wings,Montréal Canadiens,1,5
2025-10-09,2025020011,2,Tampa Bay Lightning,Ottawa Senators,4,5
2025-10-09,2025020012,2,Florida Panthers,Philadelphia Flyers,2,1
2025-10-09,2025020013,2,Pittsburgh Penguins,New York Islanders,4,3
2025-10-09,2025020014,2,Carolina Hurricanes,New Jersey Devils,6,3
2025-10-09,2025020015,2,St. Louis Blues,Minnesota Wild,0,5
2025-10-09,2025020016,2,Nashville Predators,Columbus Blue Jackets,2,1
2025-10-09,2025020017,2,Winnipeg Jets,Dallas Stars,4,5
2025-10-09,2025020018,2,Colorado Avalanche,Utah Mammoth,2,1
2025-10-09,2025020019,2,Vancouver Canucks,Calgary Flames,5,1
2025-10-09,2025020020,2,San Jose Sharks,Vegas Golden Knights,3,4
2025-10-09,2025020021,2,Seattle Kraken,Anaheim Ducks,3,1
2025-10-11,2025020022,2,Winnipeg Jets,Los Angeles Kings,3,2
2025-10-11,2025020023,2,Calgary Flames,St. Louis Blues,2,4
2025-10-11,2025020024,2,Boston Bruins,Buffalo Sabres,3,1
2025-10-11,2025020025,2,Detroit Red Wings,Toronto Maple Leafs,6,3
2025-10-11,2025020026,2,Tampa Bay Lightning,New Jersey Devils,3,5
