date,home,away,odds_home,odds_draw,odds_away,odds_over25,odds_under25,odds_btts_yes,odds_btts_no
2026-06-26,Egypt,Iran,,,,,,,
2026-06-26,New Zealand,Belgium,,,,,,,
2026-06-26,Cape Verde,Saudi Arabia,,,,,,,
2026-06-26,Uruguay,Spain,,,,,,,
2026-06-26,Norway,France,,,,,,,
2026-06-26,Senegal,Iraq,,,,,,,
2026-06-27,Algeria,Austria,,,,,,,
2026-06-27,Jordan,Argentina,,,,,,,
2026-06-27,Colombia,Portugal,,,,,,,
2026-06-27,DR Congo,Uzbekistan,,,,,,,
2026-06-27,Panama,England,,,,,,,
2026-06-27,Croatia,Ghana,,,,,,,
