date,tourney_id,tourney_name,tour,surface,round,best_of,winner,loser,winner_rank,loser_rank,winner_sets,loser_sets,score,w_sv_pts,w_sv_won,l_sv_pts,l_sv_won
2023-01-01,mcp-202301-adelaide,Adelaide,wta,hard,R32,3,Garbine Muguruza,Bianca Andreescu,9999,9999,0,0,,,,,
2023-01-02,2023-2843,Adelaide-1,atp,hard,F,3,Novak Djokovic,Sebastian Korda,5,33,2,1,6-7(8) 7-6(3) 6-4,99,78,129,86
2023-01-02,2023-2843,Adelaide-1,atp,hard,QF,3,Yoshihito Nishioka,Alexei Popyrin,36,120,2,1,7-6(4) 6-7(8) 6-2,106,76,103,68
2023-01-02,2023-2843,Adelaide-1,atp,hard,QF,3,Sebastian Korda,Jannik Sinner,33,15,2,0,7-5 6-1,52,37,53,29
2023-01-02,2023-2843,Adelaide-1,atp,hard,QF,3,Daniil Medvedev,Karen Khachanov,7,20,2,0,6-3 6-3,51,36,60,31
2023-01-02,2023-2843,Adelaide-1,atp,hard,QF,3,Novak Djokovic,Denis Shapovalov,5,18,2,0,6-3 6-4,70,47,72,39
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Alexei Popyrin,Marcos Giron,120,61,2,1,4-6 6-4 6-3,83,62,79,54
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Yoshihito Nishioka,Mackenzie McDonald,36,63,2,0,6-4 6-3,72,46,57,34
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Sebastian Korda,Roberto Bautista Agut,33,21,2,0,6-4 6-4,57,43,47,32
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Jannik Sinner,Thanasi Kokkinakis,15,93,2,0,7-6(2) 6-4,78,52,72,46
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Karen Khachanov,Jack Draper,20,42,2,0,6-4 6-2,53,41,67,37
2023-01-02,2023-2843,Adelaide-1,atp,hard,R16,3,Daniil Medvedev,Miomir Kecmanovic,7,29,2,0,6-0 6-3,51,36,42,19
