tour,surface,best_of,player_a,player_b,odds_a,odds_b
atp,grass,5,Alejandro Davidovich Fokina,Marton Fucsovics,1.02,15.25
atp,grass,5,Hubert Hurkacz,Tommy Paul,1.32,3.095
atp,grass,5,Felix Auger-Aliassime,Michael Zheng,1.17,5.105
atp,grass,5,Alex de Minaur,Zachary Svajda,1.17,5.06
atp,grass,5,Karen Khachanov,Flavio Cobolli,1.65,2.24
atp,grass,5,Jiri Lehecka,Jaume Munar,1.29,3.635
atp,grass,5,Zizou Bergs,Arthur Fery,1.74,2.08
atp,grass,5,Marcos Giron,Alexander Zverev,9.55,1.055
atp,grass,5,Taylor Fritz,Lorenzo Sonego,1.14,5.835
atp,grass,5,Frances Tiafoe,Alexander Bublik,1.81,2.0
atp,grass,5,Grigor Dimitrov,Matteo Berrettini,2.1,1.725
atp,grass,5,Jannik Sinner,Shintaro Mochizuki,1.01,17.0
atp,grass,5,Roman Safiullin,Novak Djokovic,5.35,1.14
wta,grass,3,Nikola Bartunkova,Barbora Krejcikova,3.15,1.34
wta,grass,3,Aryna Sabalenka,Jelena Ostapenko,1.18,4.55
wta,grass,3,Claire Liu,Coco Gauff,8.0,1.06
wta,grass,3,Karolina Muchova,Mananchaya Sawangkaew,1.065,8.31
wta,grass,3,Jessica Pegula,Iva Jović,1.45,2.6
wta,grass,3,Emma Navarro,Marta Kostyuk,2.15,1.72
wta,grass,3,Liudmila Samsonova,Marie Bouzkova,2.18,1.69
wta,grass,3,Daria Snigur,Ashlyn Krueger,1.88,1.92
wta,grass,3,Elise Mertens,Elena Rybakina,4.35,1.22
wta,grass,3,Jasmine Paolini,Maria Sakkari,1.74,2.1
wta,grass,3,Alexandra Eala,Iga Swiatek,3.66,1.29
wta,grass,3,Sorana Cirstea,Linda Noskova,2.75,1.44
wta,grass,3,Amanda Anisimova,Madison Keys,2.33,1.6
