date,match,p_actual_blend,p_top_blend,predicted,outcome
2022-11-20,Qatar 0-2 Ecuador,0.423,0.423,away,away
2022-11-21,Senegal 0-2 Netherlands,0.603,0.603,away,away
2022-11-21,England 6-2 Iran,0.423,0.423,home,home
2022-11-21,United States 1-1 Wales,0.308,0.447,home,draw
2022-11-22,Argentina 1-2 Saudi Arabia,0.063,0.768,home,away
2022-11-22,Mexico 0-0 Poland,0.29,0.422,home,draw
2022-11-22,Denmark 0-0 Tunisia,0.275,0.535,home,draw
2022-11-22,France 4-1 Australia,0.542,0.542,home,home
2022-11-23,Germany 1-2 Japan,0.283,0.444,home,away
2022-11-23,Spain 7-0 Costa Rica,0.62,0.62,home,home
2022-11-23,Morocco 0-0 Croatia,0.296,0.412,away,draw
2022-11-23,Belgium 1-0 Canada,0.5,0.5,home,home
2022-11-24,Switzerland 1-0 Cameroon,0.551,0.551,home,home
2022-11-24,Brazil 2-0 Serbia,0.706,0.706,home,home
2022-11-24,Uruguay 0-0 South Korea,0.289,0.477,home,draw
2022-11-24,Portugal 3-2 Ghana,0.721,0.721,home,home
2022-11-25,Qatar 1-3 Senegal,0.344,0.365,home,away
2022-11-25,Netherlands 1-1 Ecuador,0.272,0.503,home,draw
2022-11-25,Wales 0-2 Iran,0.409,0.409,away,away
2022-11-25,England 0-0 United States,0.295,0.461,home,draw
2022-11-26,Poland 2-0 Saudi Arabia,0.417,0.417,home,home
2022-11-26,Argentina 2-0 Mexico,0.6,0.6,home,home
2022-11-26,Tunisia 0-1 Australia,0.366,0.366,away,away
2022-11-26,France 2-1 Denmark,0.409,0.409,home,home
2022-11-27,Japan 0-1 Costa Rica,0.224,0.482,home,away
2022-11-27,Spain 1-1 Germany,0.265,0.503,home,draw
2022-11-27,Belgium 0-2 Morocco,0.2,0.54,home,away
2022-11-27,Croatia 4-1 Canada,0.381,0.381,home,home
2022-11-28,Cameroon 3-3 Serbia,0.269,0.544,away,draw
2022-11-28,Brazil 1-0 Switzerland,0.688,0.688,home,home
2022-11-28,South Korea 2-3 Ghana,0.182,0.545,home,away
2022-11-28,Portugal 2-0 Uruguay,0.419,0.419,home,home
2022-11-29,Ecuador 1-2 Senegal,0.256,0.442,home,away
2022-11-29,Qatar 0-2 Netherlands,0.656,0.656,away,away
2022-11-29,Wales 0-3 England,0.578,0.578,away,away
2022-11-29,Iran 0-1 United States,0.344,0.344,away,away
2022-11-30,Poland 0-2 Argentina,0.66,0.66,away,away
2022-11-30,Saudi Arabia 1-2 Mexico,0.487,0.487,away,away
2022-11-30,Australia 1-0 Denmark,0.245,0.469,away,home
2022-11-30,Tunisia 1-0 France,0.147,0.615,away,home
2022-12-01,Japan 2-1 Spain,0.192,0.548,away,home
2022-12-01,Costa Rica 2-4 Germany,0.514,0.514,away,away
2022-12-01,Croatia 0-0 Belgium,0.274,0.431,away,draw
2022-12-01,Canada 1-2 Morocco,0.389,0.389,away,away
2022-12-02,Serbia 2-3 Switzerland,0.385,0.385,away,away
2022-12-02,Cameroon 1-0 Brazil,0.035,0.839,away,home
2022-12-02,Ghana 0-2 Uruguay,0.612,0.612,away,away
2022-12-02,South Korea 2-1 Portugal,0.155,0.594,away,home
2022-12-03,Netherlands 3-1 United States,0.478,0.478,home,home
2022-12-03,Argentina 2-1 Australia,0.653,0.653,home,home
2022-12-04,France 3-1 Poland,0.538,0.538,home,home
2022-12-04,England 3-0 Senegal,0.531,0.531,home,home
2022-12-05,Japan 1-1 Croatia,0.289,0.358,away,draw
2022-12-05,Brazil 4-1 South Korea,0.712,0.712,home,home
2022-12-06,Morocco 0-0 Spain,0.286,0.497,away,draw
2022-12-06,Portugal 6-1 Switzerland,0.467,0.467,home,home
2022-12-09,Croatia 1-1 Brazil,0.22,0.662,away,draw
2022-12-09,Netherlands 2-2 Argentina,0.281,0.466,away,draw
2022-12-10,Morocco 1-0 Portugal,0.211,0.5,away,home
2022-12-10,England 1-2 France,0.342,0.354,home,away
2022-12-13,Argentina 3-0 Croatia,0.585,0.585,home,home
2022-12-14,France 2-0 Morocco,0.457,0.457,home,home
2022-12-17,Croatia 2-1 Morocco,0.35,0.35,home,home
2022-12-18,Argentina 3-3 France,0.289,0.461,home,draw
